"Station","Location","Disturbance","Mound<5m","Species","Sp_Pin_Hits","Treatment","Block","Date"
"1","A","","","Themeda",3,"C","C","20000201"
"1","A","","","P.mezianum",NA,"C","C","20000201"
"1","A","","","P.stramineum",4,"C","C","20000201"
"1","A","","","Lintonia",1,"C","C","20000201"
"1","A","","","Brachiaria",NA,"C","C","20000201"
"1","A","","","Aerva",NA,"C","C","20000201"
"1","A","","","Aspilia",NA,"C","C","20000201"
"1","A","","","Commelina",NA,"C","C","20000201"
"1","A","","","Conyza",NA,"C","C","20000201"
"1","A","","","Discoriste",NA,"C","C","20000201"
"1","A","","","Helichrysum",NA,"C","C","20000201"
"1","A","","","Hibiscus",NA,"C","C","20000201"
"1","A","","","Indigofera_sch",NA,"C","C","20000201"
"1","A","","","Indigofera_brev",NA,"C","C","20000201"
"1","A","","","Kyllinger",NA,"C","C","20000201"
"1","A","","","Misopates",NA,"C","C","20000201"
"1","A","","","Monechima",NA,"C","C","20000201"
"1","A","","","Monsonia",NA,"C","C","20000201"
"1","A","","","Pavonia",NA,"C","C","20000201"
"1","A","","","Phyllanthus",NA,"C","C","20000201"
"1","A","","","Polygala",NA,"C","C","20000201"
"1","A","","","Portulaca",NA,"C","C","20000201"
"1","A","","","Rhinacanthus",NA,"C","C","20000201"
"1","A","","","Rhynchosia",NA,"C","C","20000201"
"1","A","","","Solanum_big",NA,"C","C","20000201"
"1","A","","","Solanum_small",NA,"C","C","20000201"
"1","A","","","Lipia",NA,"C","C","20000201"
"1","B","","","Themeda",4,"C","C","20000201"
"1","B","","","P.mezianum",1,"C","C","20000201"
"1","B","","","P.stramineum",NA,"C","C","20000201"
"1","B","","","Lintonia",NA,"C","C","20000201"
"1","B","","","Brachiaria",NA,"C","C","20000201"
"1","B","","","Aerva",NA,"C","C","20000201"
"1","B","","","Aspilia",NA,"C","C","20000201"
"1","B","","","Commelina",NA,"C","C","20000201"
"1","B","","","Conyza",NA,"C","C","20000201"
"1","B","","","Discoriste",1,"C","C","20000201"
"1","B","","","Helichrysum",NA,"C","C","20000201"
"1","B","","","Hibiscus",NA,"C","C","20000201"
"1","B","","","Indigofera_sch",NA,"C","C","20000201"
"1","B","","","Indigofera_brev",NA,"C","C","20000201"
"1","B","","","Kyllinger",NA,"C","C","20000201"
"1","B","","","Misopates",NA,"C","C","20000201"
"1","B","","","Monechima",NA,"C","C","20000201"
"1","B","","","Monsonia",NA,"C","C","20000201"
"1","B","","","Pavonia",NA,"C","C","20000201"
"1","B","","","Phyllanthus",NA,"C","C","20000201"
"1","B","","","Polygala",NA,"C","C","20000201"
"1","B","","","Portulaca",NA,"C","C","20000201"
"1","B","","","Rhinacanthus",NA,"C","C","20000201"
"1","B","","","Rhynchosia",NA,"C","C","20000201"
"1","B","","","Solanum_big",NA,"C","C","20000201"
"1","B","","","Solanum_small",NA,"C","C","20000201"
"1","B","","","Lipia",NA,"C","C","20000201"
"1","C","","","Themeda",NA,"C","C","20000201"
"1","C","","","P.mezianum",NA,"C","C","20000201"
"1","C","","","P.stramineum",NA,"C","C","20000201"
"1","C","","","Lintonia",4,"C","C","20000201"
"1","C","","","Brachiaria",1,"C","C","20000201"
"1","C","","","Aerva",NA,"C","C","20000201"
"1","C","","","Aspilia",NA,"C","C","20000201"
"1","C","","","Commelina",NA,"C","C","20000201"
"1","C","","","Conyza",NA,"C","C","20000201"
"1","C","","","Discoriste",NA,"C","C","20000201"
"1","C","","","Helichrysum",NA,"C","C","20000201"
"1","C","","","Hibiscus",NA,"C","C","20000201"
"1","C","","","Indigofera_sch",NA,"C","C","20000201"
"1","C","","","Indigofera_brev",NA,"C","C","20000201"
"1","C","","","Kyllinger",NA,"C","C","20000201"
"1","C","","","Misopates",NA,"C","C","20000201"
"1","C","","","Monechima",NA,"C","C","20000201"
"1","C","","","Monsonia",NA,"C","C","20000201"
"1","C","","","Pavonia",NA,"C","C","20000201"
"1","C","","","Phyllanthus",NA,"C","C","20000201"
"1","C","","","Polygala",NA,"C","C","20000201"
"1","C","","","Portulaca",NA,"C","C","20000201"
"1","C","","","Rhinacanthus",NA,"C","C","20000201"
"1","C","","","Rhynchosia",NA,"C","C","20000201"
"1","C","","","Solanum_big",NA,"C","C","20000201"
"1","C","","","Solanum_small",NA,"C","C","20000201"
"1","C","","","Lipia",NA,"C","C","20000201"
"1","D","","","Themeda",NA,"C","C","20000201"
"1","D","","","P.mezianum",NA,"C","C","20000201"
"1","D","","","P.stramineum",NA,"C","C","20000201"
"1","D","","","Lintonia",2,"C","C","20000201"
"1","D","","","Brachiaria",NA,"C","C","20000201"
"1","D","","","Aerva",NA,"C","C","20000201"
"1","D","","","Aspilia",3,"C","C","20000201"
"1","D","","","Commelina",NA,"C","C","20000201"
"1","D","","","Conyza",NA,"C","C","20000201"
"1","D","","","Discoriste",NA,"C","C","20000201"
"1","D","","","Helichrysum",NA,"C","C","20000201"
"1","D","","","Hibiscus",NA,"C","C","20000201"
"1","D","","","Indigofera_sch",NA,"C","C","20000201"
"1","D","","","Indigofera_brev",NA,"C","C","20000201"
"1","D","","","Kyllinger",NA,"C","C","20000201"
"1","D","","","Misopates",NA,"C","C","20000201"
"1","D","","","Monechima",NA,"C","C","20000201"
"1","D","","","Monsonia",NA,"C","C","20000201"
"1","D","","","Pavonia",NA,"C","C","20000201"
"1","D","","","Phyllanthus",NA,"C","C","20000201"
"1","D","","","Polygala",NA,"C","C","20000201"
"1","D","","","Portulaca",NA,"C","C","20000201"
"1","D","","","Rhinacanthus",NA,"C","C","20000201"
"1","D","","","Rhynchosia",NA,"C","C","20000201"
"1","D","","","Solanum_big",NA,"C","C","20000201"
"1","D","","","Solanum_small",NA,"C","C","20000201"
"1","D","","","Lipia",NA,"C","C","20000201"
"1","E","","","Themeda",3,"C","C","20000201"
"1","E","","","P.mezianum",2,"C","C","20000201"
"1","E","","","P.stramineum",NA,"C","C","20000201"
"1","E","","","Lintonia",1,"C","C","20000201"
"1","E","","","Brachiaria",NA,"C","C","20000201"
"1","E","","","Aerva",NA,"C","C","20000201"
"1","E","","","Aspilia",NA,"C","C","20000201"
"1","E","","","Commelina",NA,"C","C","20000201"
"1","E","","","Conyza",NA,"C","C","20000201"
"1","E","","","Discoriste",1,"C","C","20000201"
