,,Feb/March 2000,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,C - C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
1,A,,,3,,4,1,,,,,,,,,,,,,,,,,,,,,,,,
1,B,,,4,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
1,C,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,
1,D,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,
1,E,,,3,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,
1,F,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,
1,H,,,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,4,2,,,,,,,2,,,,,,,,,,,,,,,,,
1,J,,,1,1,,3,,,,,,,4,,,,,,,,,,,,,,,,,
2,J,,,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,,,2,1,,,,,,,5,,,,,,,,,,,,,,,,,
2,H,,,4,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,
2,G,,,1,,,2,5,,,,,,,,,,,,,,,,,,,,,,,
2,F,,,2,,,3,2,,,,,,,,,,,,,,,,,,,,,,,
2,E,,,4,,,2,3,,,,,,,,,,,,,,,,,,,,,,,
2,D,,,5,,,1,3,,,,,,3,,,,,,,,,,,,,,,,,
2,C,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,
2,B,,,6,4,,,,,2,,,,,,,,,,,,,,,,,,,,,
2,A,,,,,2,,,,1,,,,3,,,,,,,,,,,,,,,,,
3,A,,,,,3,2,,,,,,,2,,,,,,,,,,,,,,,,,
3,B,,,,,,4,3,,,,,,,,,,,,1,,,,,,,,,,,
3,C,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,
3,D,,,,5,,3,,,,,,4,,,,,,,,,,,,,,,,,,
3,E,,,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
