,,Feb/March 2000,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,
,,C - MWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,
1,A,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,
1,B,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,
1,C,,,2,,,1,,,3,,,,,,,,,,,,,,,,,,,,
1,D,,,,,2,2,,,4,,1,,,,,,,,,,,,,,,,,,
1,E,,,1,,,4,,,1,,,,,,,,,,,,,,,,,,,,
1,F,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,
1,G,,,3,4,,,,,,,,,1,,,,,,,,,,,,,,,,
1,H,,,,5,,4,1,,,,,,,,,,,,,,,,,,,,,,
1,I,,,1,5,,1,,,,,,,,,,,,,,,,,,,,,,,
1,J,,,4,3,,2,,,,,,,,,,,,,,,,,,,,,,,
2,J,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,1,,4,2,,,,,,,,,,,,,,,,,,,,,,,
2,H,,,2,,,,3,,,,,3,,,,,,,,,,,,,,,,,
2,G,,,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,
2,F,,,,3,,,1,,,,,,,,2,,,,,,,,,,,,,,
2,E,,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,
2,D,,,4,5,1,1,,,,,,,,,,,,,,,,,,,,,,,
2,C,,,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,
2,B,,,1,,4,3,,,,,,,,,2,,,,,,,,,,,,,,
2,A,,,1,2,,,,,2,,,,,,,,,,,,,,,,,,,,
3,A,,,,3,,1,,,,,,,,,1,,,,,,,,,,,,,,
3,B,,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,
3,C,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,
3,D,,,2,,,4,,,,,,,,,1,,,,,,,,,,,,,,
3,E,,,3,,,2,,,1,,,1,,,,,,,,,,,,,,,,,
3,F,,,,1,,5,2,1,,,,,,,,,,,,,,,,,,,,,
3,G,,,4,,,1,,,,,,,2,,,,,,,,,,,,,,,,
3,H,,,3,,2,3,,,2,,,,,,,,,,,,,,,,,,,,
3,I,,,5,1,,2,4,,,,,,,,,,,,,,,,,,,,,,
3,J,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,
4,J,,,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,
4,I,,,3,2,,4,,,,,,,,,,,,,,,,,,,,,,,
4,H,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,
4,G,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,
4,F,,,,4,3,3,,,,,,,,,,,,,,,,,,,,,,,
4,E,,,,,2,1,,,,,,,,,,,,,3,,,,,,,,,,
4,D,,,2,,,1,,,2,,,,,,,,,,,,,,,,,,,,
4,C,,,3,,,4,3,,,,,,,,,,,,,,,,,,,,,,
4,B,,,,3,5,1,,,,,,2,,,,,,,,,,,,,,,,,
4,A,,,1,,6,1,2,,2,,,,,,,,,,,,,,,,,,,,
5,A,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
5,B,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
5,D,,,1,1,,,3,,,,,,,,,,,,,,,,,,,,,,
5,E,,,4,,2,3,,,,,,,,,1,,,,,,,,,,,,,,
5,F,,,,,9,3,,,,,,,,,,,,,,,,,,,,,,,
5,G,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,
5,H,,,2,1,,3,,,4,,,,,,,,,,,,,,,,,,,,
5,I,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,
5,J,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
6,J,,,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,
6,I,,,6,3,1,,1,,,,,,,,,,,,,,,,,,,,,,
6,H,,,5,1,,,1,,,,,,,,,,,,,,,,,,,,,,
6,G,,,7,,2,2,,,,,,,,,,,,,,,,,,,,,,,
6,F,,,,,,3,1,,,,,,1,,,,,,,,,,,,,,,,
6,E,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,
6,D,,,1,2,1,2,,,,,,1,,,,,,,,,,,,,,2,,,
6,C,,,2,1,,,5,,,,,,,,,,,,,,,,,,,1,,,
6,B,,,,,,7,,3,,,,,,,,,,,,,,,,,,,,,
6,A,,,,,4,,3,,,,,,2,,,,,,,,,,,,,,,,
7,A,,,,,5,2,,,,,,,2,,,,,,,,,,,,,,,,
