,,Feb/March 2000,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,N - WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
1,A,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,
1,B,,,,3,,2,,,,,,,1,,,,,,,,,,,,,,,,,
1,C,,,,5,,2,,,,,,,,,,,,,1,,,,,,,,,,,
1,D,,,3,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,
1,E,,,8,,,3,,,,,,,,,,,,,,,,,,,,,,,,
1,F,,,3,2,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,G,,,10,,,3,,,,,,,,,,,,,,,,,,,,,,,,
1,H,,,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,5,,,1,2,,,,,,,,,,,,,,,,,,,,,,,
1,J,,,1,4,,1,3,,,,,,,,1,,,,,,,,,,,,,,,
2,J,,,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,2,4,,2,,,,,,,,,,,,,,,,,,,,,,,,
2,H,,,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,
2,G,,,,,,1,2,,1,,,3,,,,,,,1,,,,,,,,,,,
2,F,,,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,
2,E,,,1,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,
2,D,,,4,3,,2,,,1,,,,,,,,,,,,,,,,,1,,,,
2,C,,,,,,3,2,,,,,,2,,,,,,1,,,,,,,,,,,
2,B,,,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
2,A,,,5,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,
3,A,,,2,3,,,,,,,,1,,,,,,,,,,,,,,,,,,
3,B,,,,,2,1,1,,3,,,,,,,,,,,,,,,,,,,,,
3,C,,,3,3,,,,,1,,,,,,,,,,,,,,,,,,,,,
3,D,,,4,,,1,,,2,,,,,,,,,,1,,,,,,,,,,,
3,E,,,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
3,F,,,,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,
3,G,,,2,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,
3,H,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,
3,I,,,3,4,,,2,,,,,,,,,,,,,,,,,,,,,,,
3,J,,,3,5,,2,2,,,,,,,,,,,,,,,,,,,,,,,
4,J,,,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,
4,I,,,6,2,,,,,1,,,,,,,,,,,,,,,,,,,,,
4,H,,,2,,,4,3,,,,,,3,,,,,,,,,,,,,,,,,
4,G,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,
4,F,,,7,,1,,,,,,,,,,3,,,,,,,,,,,,,,,
4,E,,,,,,2,5,,,,,,4,,,,,,,,,,,,,,,,,
4,D,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,
4,C,,,,1,4,,2,,,,,,,,1,,,,,,,,,,,,,,,
4,B,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
4,A,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,
5,A,,,,1,,3,,,,,,,1,,,,,,,,,,,,,,,,,
5,B,,,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
5,C,,,4,,,,1,,,,,3,,,,,,,,,,,,,,,,,,
5,D,,,,,2,3,,,,,,,1,,,,,,1,,,,,,,,,,,
5,E,,,,,,2,,,,,,,1,,,,,,,,,,,,,1,,,,
5,F,,,4,,,1,3,,,,,,,,,,,,3,,,,,,,,,,,
5,G,,,1,6,,,,1,,,,,,,,,,,,,,,,,,,,,,
5,H,,,2,,,4,,,,,,,1,,,,,,,,,,,,,,,,,
5,I,,,1,5,,3,,,,,,,,,,,,,,,,,,,,,,,,
5,J,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,1,,
6,A,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,
6,B,,,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
6,C,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,
6,D,,,4,2,,3,,,,,,,,,,,,,1,,,,,,,,,,,
6,E,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,
6,F,,,1,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,
6,G,,,3,1,,,4,,,,,,,,,,,,,,,,,,,,,,,
6,H,,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,
6,I,,,,,5,2,1,,,,,,4,,,,,,,,,,,,,,,,,
6,J,,,,2,3,,,,,,,,,,,,,,1,,,,,,,,,,,
7,J,,,1,2,,1,,,,,,,3,,,,,,,,,,,,,,,,,
7,I,,,3,2,,1,,,,,,,2,,,,,,,,,,,,,,,,,
7,H,,,2,3,,,2,,2,,,,,,,,,,1,,,,,,,,,,,
7,G,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
7,F,,,4,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
7,E,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,,,5,4,,,1,,1,,,,,,,,,,,,,,,,,,,,,
7,C,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,
7,B,,,1,6,,2,,,,,,1,,,,,,,,,,,,,,,,,,
7,A,,,5,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
8,A,,,,3,,2,,,2,,,,,,,,,,,,,,,,,,,,,
8,B,,,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,
8,C,,,,1,,1,3,,1,,,,,,,,,,,,,2,,,,,,,,
8,D,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,
8,E,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,
8,F,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,
8,G,,,1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,
8,H,,,5,2,3,2,,,,,,,1,,,,,,,,,,,,,,,,,
8,I,,,1,,,3,,,,,,,4,,,,,,,,,,,,,,,,,
8,J,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,2,,
9,J,,,,2,1,,2,,,,,,3,,,,,,,,,,,,,,,,,
9,I,,,8,,,2,,,,,,,2,,,,,,,,,,,,,,,,,
9,H,,,4,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
9,G,,,4,,,,1,,2,,,,,,,,,,,,,,,,,,,,,
9,F,,,,,3,2,4,,,,,,,,,,,,,,,,,,,,,,,
9,E,,,,,,2,3,,4,,,,,,,,,,,,,,,,,,,,,
9,D,,,1,,,4,,1,2,,,,,,,,,,,,,,,,,,,,,
9,C,,,4,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,
9,B,,,,2,,2,,,,,,,,,,,,,1,,,,,,,,,,,
9,A,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,,,2,3,,3,,,,,,,,,,,,,1,,,,,,,,,,,
10,B,,,,,4,2,,,,,,,,,,,,,1,,,,,,,,,,,
10,C,,,,,4,3,,,1,,,,2,,,,,,,,,,,,,,,,,
10,D,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,E,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,
10,F,,,,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,
10,G,,,2,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
10,H,,,1,4,,,,,3,,,,,,,,,,,,,,,,,,,,,
10,I,,,1,4,,1,,2,,,,,,,,,,,,,,,,,,,,,,
10,J,,,4,6,,,,,1,0,0,,,0,,0,0,0,,0,0,,0,0,0,,0,,0,
,,,,208,171,54,147,65,5,41,0,0,8,37,0,6,0,0,0,14,0,0,2,0,0,0,2,0,3,0,
% cover,,,,20.8,20.9,24.0,14.7,6.5,0.5,4.1,0.0,0.0,0.8,3.7,0.0,0.6,0.0,0.0,0.0,1.4,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.3,0.0,98.70
