"Station","Location","Disturbance","Mound.5m","Species","Sp_Pin_Hits","Treatment","Block","Date"
1,"A",NA,NA,"Themeda",1,"C","N",20000201
1,"A",NA,NA,"P.mezianum",2,"C","N",20000201
1,"A",NA,NA,"P.stramineum",NA,"C","N",20000201
1,"A",NA,NA,"Lintonia",1,"C","N",20000201
1,"A",NA,NA,"Brachiaria",NA,"C","N",20000201
1,"A",NA,NA,"Aerva",NA,"C","N",20000201
1,"A",NA,NA,"Aspilia",NA,"C","N",20000201
1,"A",NA,NA,"Commelina",NA,"C","N",20000201
1,"A",NA,NA,"Conyza",NA,"C","N",20000201
1,"A",NA,NA,"Discoriste",NA,"C","N",20000201
1,"A",NA,NA,"Helichrysum",NA,"C","N",20000201
1,"A",NA,NA,"Hibiscus",NA,"C","N",20000201
1,"A",NA,NA,"Indigofera_sch",NA,"C","N",20000201
1,"A",NA,NA,"Indigofera_brev",NA,"C","N",20000201
1,"A",NA,NA,"Kyllinger",NA,"C","N",20000201
1,"A",NA,NA,"Misopates",NA,"C","N",20000201
1,"A",NA,NA,"Monechima",NA,"C","N",20000201
1,"A",NA,NA,"Monsonia",NA,"C","N",20000201
1,"A",NA,NA,"Pavonia",NA,"C","N",20000201
1,"A",NA,NA,"Phyllanthus",NA,"C","N",20000201
1,"A",NA,NA,"Polygala",NA,"C","N",20000201
1,"A",NA,NA,"Portulaca",NA,"C","N",20000201
1,"A",NA,NA,"Rhinacanthus",NA,"C","N",20000201
1,"A",NA,NA,"Rhynchosia",NA,"C","N",20000201
1,"A",NA,NA,"Solanum_big",NA,"C","N",20000201
1,"A",NA,NA,"Solanum_small",1,"C","N",20000201
1,"A",NA,NA,"Lipia",NA,"C","N",20000201
1,"B",NA,NA,"Themeda",8,"C","N",20000201
1,"B",NA,NA,"P.mezianum",3,"C","N",20000201
1,"B",NA,NA,"P.stramineum",NA,"C","N",20000201
1,"B",NA,NA,"Lintonia",NA,"C","N",20000201
1,"B",NA,NA,"Brachiaria",NA,"C","N",20000201
1,"B",NA,NA,"Aerva",NA,"C","N",20000201
1,"B",NA,NA,"Aspilia",NA,"C","N",20000201
1,"B",NA,NA,"Commelina",NA,"C","N",20000201
1,"B",NA,NA,"Conyza",NA,"C","N",20000201
1,"B",NA,NA,"Discoriste",NA,"C","N",20000201
1,"B",NA,NA,"Helichrysum",NA,"C","N",20000201
1,"B",NA,NA,"Hibiscus",NA,"C","N",20000201
1,"B",NA,NA,"Indigofera_sch",NA,"C","N",20000201
1,"B",NA,NA,"Indigofera_brev",NA,"C","N",20000201
1,"B",NA,NA,"Kyllinger",NA,"C","N",20000201
1,"B",NA,NA,"Misopates",NA,"C","N",20000201
1,"B",NA,NA,"Monechima",NA,"C","N",20000201
1,"B",NA,NA,"Monsonia",NA,"C","N",20000201
1,"B",NA,NA,"Pavonia",NA,"C","N",20000201
1,"B",NA,NA,"Phyllanthus",NA,"C","N",20000201
1,"B",NA,NA,"Polygala",NA,"C","N",20000201
1,"B",NA,NA,"Portulaca",NA,"C","N",20000201
1,"B",NA,NA,"Rhinacanthus",NA,"C","N",20000201
1,"B",NA,NA,"Rhynchosia",NA,"C","N",20000201
1,"B",NA,NA,"Solanum_big",NA,"C","N",20000201
1,"B",NA,NA,"Solanum_small",NA,"C","N",20000201
1,"B",NA,NA,"Lipia",NA,"C","N",20000201
1,"C",NA,NA,"Themeda",4,"C","N",20000201
1,"C",NA,NA,"P.mezianum",3,"C","N",20000201
1,"C",NA,NA,"P.stramineum",NA,"C","N",20000201
1,"C",NA,NA,"Lintonia",1,"C","N",20000201
1,"C",NA,NA,"Brachiaria",NA,"C","N",20000201
1,"C",NA,NA,"Aerva",NA,"C","N",20000201
1,"C",NA,NA,"Aspilia",NA,"C","N",20000201
1,"C",NA,NA,"Commelina",NA,"C","N",20000201
1,"C",NA,NA,"Conyza",NA,"C","N",20000201
1,"C",NA,NA,"Discoriste",NA,"C","N",20000201
1,"C",NA,NA,"Helichrysum",NA,"C","N",20000201
1,"C",NA,NA,"Hibiscus",NA,"C","N",20000201
1,"C",NA,NA,"Indigofera_sch",NA,"C","N",20000201
1,"C",NA,NA,"Indigofera_brev",NA,"C","N",20000201
1,"C",NA,NA,"Kyllinger",NA,"C","N",20000201
1,"C",NA,NA,"Misopates",NA,"C","N",20000201
1,"C",NA,NA,"Monechima",NA,"C","N",20000201
1,"C",NA,NA,"Monsonia",NA,"C","N",20000201
1,"C",NA,NA,"Pavonia",NA,"C","N",20000201
