,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Brachiaria lachnantha,,,,,3,1,,1,,,2,,5,1,,,5,,,,,,,,,5,,,,,,,1,,3,4,,,2,,,,3,2,1,,,,,,,,,,1,,1,,,,,,1,3,,,,,1,,,1,, ,1,3,,,,,,,,,,1,, ,1,,,,2,2,1,,,,,,58,5.8,0.075619296,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Lintonia nutans,4,,2,4,1,,3,,,4,,,,,3,2,1,,,,,,1,4,2,,,,,1,,,3,,1,,3,3,,,,2,,2,,2,,,4,, ,4,2,4,1,2,2,1, ,1,2,2,,,3,1,,,2,,2,,3,1,,,,,,2,2,,,,2,4,1,3,2,1,1,,1,2,,2,1,,,,109,10.9,0.142112125,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
pennisetum mezianum.,,2,,,,1,,,,,,,3,4,,,,1,,,,,,,,,,2,,,2,,,,,,,,,4,,,,1,3,4,,,,3, ,4,3,1,,2,4,5,,3,,3,2,1,5,3,4,,4,3,,,,,,,1,4,,,3,5,2,2,,,,,,2,,,5,,,,4,,1,3,109,10.9,0.142112125,,,,
pennisetum stramineum.,,2,6,,,2,1,6,4,,1,7,,2,,4,1,,,1,8,2,4,,5,,1,,2,2,1,,,9,5,2,2,6,5,1,7,2,1,,,,7,2,,1,3,,,,,,,,4,,4,,,3,,1,,,,4,5,5,,5,,2,3,4,5,2,,1,6,6,,,4,5,1,1,6,4,1,3,2,4,,9,4,2,221,22.1,0.288135593,,,,
