,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Brachiaria lachnantha,,3,,,,,,,,,3,,,7,4,,,,,2,,,,,,,,,,1,5,4,2,,,2,,,,,3,,,,,,,,6,,,,,,,,,,3,,2,,7,6,3,,1,,,,2,,,,,,,,1,,2,,,,2,2,,,,,,,,4,3,3,,,,,83,8.3,0.082259663,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Lintonia nutans,,1,,,4,1,,,4,4,2,1,5,,2,3,,,,3,,,6,,1,,,,,3,,6,4,4,,2,3,4,,,2,4,1,1,3,,,4,,5,,1,,3,2,,3,,,,,2,,2,5,2,,,,2,4,,2,,2,,3,2,,6,4,,5,,,2,1,2,,,,,,2,,1,,,,4,145,14.5,0.14370664,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
pennisetum mezianum.,,5,,,,7,4,,3,1,,,,3,2,,,,,,,,,,,,9,3,7,,6,1,5,5,3,,,,,2,1,,,,,,2,4,,,,3,,3,,,1,6,,,,5,,,,,,,,,,,,,4,1,,3,3,2,,,2,,,1,,4,2,2,,,1,,,,,,2,2,120,12,0.118929633,,,,
pennisetum stramineum.,,,4,,,,4,3,,,,,3,,,7,10,10,4,,3,2,4,,2,3,,,,,,,,,2,4,7,5,5,,,,,2,,4,1,,,3,4,5,7,,3,5,2,,1,2,1,,,,,,4,9,10,4,,3,2,5,,6,,,,,,7,,6,,,,,,4,9,6,,,1,2,7,6,3,,216,21.6,0.21407334,,,,
