,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Brachiaria lachnantha,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,3,,2,,,2,,2,,,,,2,,,,,,,,,1,,,,,,,,,,,,,2,3,,1,,,,,,,,,,,,,,,,,,,27,2.7,0.035019455,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Lintonia nutans,,,,,,,4,,,,,3,4,,,,,,2,1,,2,,,,,1,5,2,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,2,,5,1,,,,,,,,,,,,,,,,,2,,1,1,,,2,1,2,,2,,,,,1,,,2,,,,,,49,4.9,0.063553826,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
pennisetum mezianum.,,2,6,,,,,,,,,,,,2,1,,,,,2,,,2,1,,,,,,1,2,3,4,,3,1,1,,4,,2,,,,,4,,3,,,2,,2,3,,4,,,,3,1,1,,,,6,3,2,,,,1,7,,6,2,,,,1,4,2,,3,1,,1,,,,2,2,,4,,5,3,4,,119,11.9,0.154345006,,,,
pennisetum stramineum.,4,2,,3,5,2,,,3,3,6,,,3,4,3,5,2,4,,,6,4,,,3,,,4,3,5,,,,,1,2,,,,2,,3,2,,5,,2,5,4,5,1,4,2,,4,,3,,,,3,,,4,3,2,3,1,2,4,2,3,1,5,, ,3, ,3,,,,3,,,2,4,5,3,5,,4,7,,,,,,4,195,19.5,0.252918288,,,,
