,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Brachiaria lachnantha,,,1,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,3,,,,,2,1,,,1,,,,,,,,,,,,,,2,2,,,,2,,,,,,,3,,,,,,,,5,,,,2,,,,,,,,,2,,,,,31,3.1,0.041223404,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Lintonia nutans,,1,2,,,,,,1,2,,,,2,2,,,,,2,2,,,,,3,,1,,1,,,1,2,3,2,2,,,,2,,,,2,,,,,,4,,,,,2,,1,1,,2,,1,,1,,,,,1,4,3,,2,,,,1,,,2,,,,1,,,,,,4,,5,1,,,,2,2,3,76,7.6,0.10106383,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
pennisetum mezianum.,3,4,5,2,,,3,2,,,,,2,,3,1,,7,2,1,,1,2,1,,,2,4,3,,4,,2,5,2,,2,2,2,,1,6,3,3,3,6,5, , ,2,1, , , ,2,4, , ,7,3,2,2, ,2,3, ,1, , ,7, ,  ,2,1, , ,2, ,1,2,4,5,,,,4,2,6,3,,2,2,2,3,,1,1,4,3,3,183,18.3,0.243351064,,,,
pennisetum stramineum.,2,,,,5,4,,,,3,6,4,,,,,2,,,,,2,,2,4,5,,,1,,,4,,,,5,,,,,,,,,,,,4,6,1,,2,3,2,1,,6,,,,,,,,,3,,6,2,,3,2,3,,3,6,4,8,5,,,,,3,4,,,,2,5,,,,,7,,,,,,140,14,0.186170213,,,,
