,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Brachiaria lachnantha,,,,,,,,,1,2,,,3,,,,,,,,1,,2,,,3,,1,,,,,,,2,1,,,,1,,,,3,,1,1,,,,,,,,4,,2,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,4,,,,45,4.5,0.057324841,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Lintonia nutans,,,2,,,,1,,,1,,4,1,1,,,2,3, ,1,2,1,,1,,,3,,,,,,1,,,2,,2,2,,,2,,1,4,,,2,2,,,4,,2,,,,,2,,2,3,1,2,,,3,,4,,,1,,1,,,1,4,,2,,,,,3,,2,3,2,,,3,3,,3,,,3,,,95,9.5,0.121019108,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
pennisetum mezianum.,2,,,1,,,2,,,1,1,,,2,,,,,,2,3,4,,,,,,,,,,4,,6,4,,4,,4,,,,2,,,,,,,,,,,1,1,,1,2,,,,,1,,,4,,,,,,,,,,1,,,3,,,1,,,,,,,,3,,,,2,,,3,,2,,67,6.7,0.085350318,,,,
pennisetum stramineum.,,,5,2,1,,,,,,,,,,4,4,2,,,,,,,,2,,,,,,,,,,,1,,,,3,3,5,,,,,,,,,3,,1,,,3,,,3,4,,2,,1,,,,1,2,,4,,4,,,,,,,2,4,,2,4,,,,1,,,2,2,,4,,2,2,3,4,4,96,9.6,0.122292994,,,,
