,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,N - W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
1,A,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,4,
1,B,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,4,
1,C,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,4,
1,D,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,3,
1,E,,,,2,4,,4,,,,,,,,,,,,,,,,,,,,,,2,
1,F,,,,2,,2,4,,,,,,,,,,,,,,,,,,,,,,3,
1,G,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,5,
1,H,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,6,
1,I,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,4,
1,J,,,,4,,2,,,,,,1,,,,,,,,,,,,,,,,,3,
2,J,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,1,
2,I,,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,3,
2,H,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,
2,G,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,7,
2,F,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,
2,E,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,5,
2,D,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,4,
2,C,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,4,
2,B,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,3,
2,A,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,4,
3,A,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,5,
