,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,S - MWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
1,A,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,
1,B,,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,2,
1,C,,,,1,,,2,,,,,,,,,,,,,,,,, ,,,,,7,
1,D,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,3,
1,E,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,
1,F,,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,4,
1,G,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,8,
1,H,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,6,
1,I,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,1,
1,J,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,9,
2,J,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,6,
2,I,,,3,,,2,3,,,,,,,,,,,,,,,,,,,,,,3,
2,H,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,2,
2,G,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,
2,F,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,6,
2,E,,,2,,8,,,,,,,,,,,,,,,,,,,,,,,,1,
2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
2,C,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,9,
2,B,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,8,
2,A,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,4,
3,A,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,9,
3,B,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,1,
3,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
3,D,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,
3,E,,,,,4,,2,,1,,,,,,,,,,,,,,,,,,,,3,
3,F,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,7,
3,G,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,3,
3,H,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,9,
3,I,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,7,
3,J,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,6,
4,J,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,5,
4,I,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,2,
4,H,,,,5,,,,,,,,,2,,,,,,,,,,,,,,,,4,
4,G,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,
4,F,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,
4,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
4,D,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,
4,C,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,
4,B,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,9,
4,A,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,8,
5,A,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,
5,B,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,7,
5,C,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,9,
5,D,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,7,
5,E,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,6,
5,F,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,4,
5,G,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,8,
5,H,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,
5,I,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,3,
5,J,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,4,
6,J,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,5,
6,I,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,6,
6,H,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,7,
6,G,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,
6,F,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,7,
6,E,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,
6,D,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,7,
6,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,
6,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
6,A,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,9,
7,A,,,,,,,2,,1,,,,,1,,,,,,,,,,,,,,,6,
7,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
7,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
7,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
7,E,,,3,4,,,,1,,,,,,,,,,,,,,,,,,,,,5,
7,F,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,
7,G,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,9,
7,H,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,7,
7,I,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,8,
7,J,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,5,
