,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,S - W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
1,A,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,
1,B,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,
1,C,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,1,
1,D,,,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,,,7,,3,,,,,,,,,,,,,,,,,,,,,,,,1,
1,F,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,
1,G,,,,7,,2,,,,,,,,,,,,,,,,,,,,,,,1,
1,H,,,7,,,,,,4,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,4,,,,,,,1,,,,,,2,,,,,,,,,,3,
1,J,,,3,,,3,,,2,,,,2,,,,,,,,,,,,,,,,,
2,J,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,
2,H,,,5,3,,3,,,,,,,,,,,,,,,,,,,,,,,,
2,G,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2,F,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,
2,E,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,,,,,10,,,,,,,,2,,,,,,,,,,,,,,,,,
2,C,,,3,,6,2,5,,,,,,1,,,,,,,,,,,,,,,,,
2,B,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,,,,,1,,6,,,,,,3,,,,,,,,,,,,,,,,1,
3,A,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,2,
3,B,,,5,,3,,,,1,,,,,,,,,,,,,,,,,,,,1,
