"trap.station","trap.station_2","pin.frame.data.cover","Species","Sp_Pin_Hits","Treatment","Block","Date"
"1","A","","bothriochloa",NA,"C","N","20010501"
"1","A","","brachiaria",5,"C","N","20010501"
"1","A","","dinebra",NA,"C","N","20010501"
"1","A","","eragrostis",NA,"C","N","20010501"
"1","A","","lintonia",NA,"C","N","20010501"
"1","A","","mariscus",NA,"C","N","20010501"
"1","A","","p..mezianum",1,"C","N","20010501"
"1","A","","p..stramineum",NA,"C","N","20010501"
"1","A","","sporobolus",NA,"C","N","20010501"
"1","A","","themeda",NA,"C","N","20010501"
"1","A","","a",NA,"C","N","20010501"
"1","A","","f",NA,"C","N","20010501"
"1","A","","g",NA,"C","N","20010501"
"1","A","","aerva",NA,"C","N","20010501"
"1","A","","aspilia",NA,"C","N","20010501"
"1","A","","commelina",NA,"C","N","20010501"
"1","A","","conyza",NA,"C","N","20010501"
"1","A","","discoriste",NA,"C","N","20010501"
"1","A","","helichrysum",NA,"C","N","20010501"
"1","A","","hibiscus",NA,"C","N","20010501"
"1","A","","indigofera.sch.",NA,"C","N","20010501"
"1","A","","indigofera.brev.",NA,"C","N","20010501"
"1","A","","leucas",NA,"C","N","20010501"
"1","A","","lily",NA,"C","N","20010501"
"1","A","","misopates",NA,"C","N","20010501"
"1","A","","monechima",NA,"C","N","20010501"
"1","A","","monsonia",NA,"C","N","20010501"
"1","A","","oxygonum",NA,"C","N","20010501"
"1","A","","pavonia",NA,"C","N","20010501"
"1","A","","pelargonium",NA,"C","N","20010501"
"1","A","","phyllanthus",NA,"C","N","20010501"
"1","A","","polygala",NA,"C","N","20010501"
"1","A","","pomea",NA,"C","N","20010501"
"1","A","","portulaca",NA,"C","N","20010501"
"1","A","","rhinacanthus",NA,"C","N","20010501"
"1","A","","rhynchosia",NA,"C","N","20010501"
"1","A","","solanum.big",NA,"C","N","20010501"
"1","A","","solanum.small",2,"C","N","20010501"
"1","A","","b",NA,"C","N","20010501"
"1","A","","c",NA,"C","N","20010501"
"1","A","","d",NA,"C","N","20010501"
"1","A","","e.",NA,"C","N","20010501"
"1","A","","h",NA,"C","N","20010501"
"1","A","","j",NA,"C","N","20010501"
