,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2,0.001855288,,0.003149606,-0.018143237
Brachiaria,,2,,,,,,,6,,,2,,,,,,,,,,,,,,,,3,1,,3,,,,2,,,,,,,1,,,1,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,2,,,,,2,3,,1,,,2,1,,,,,,,,,,2,,,,,,38,3.8,0.035250464,,0.05984252,-0.16851886
Dinebra,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,0.3,0.002782931,,0.004724409,-0.025299273
Eragrostis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0
Lintonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5,0.5,0.004638219,,0.007874016,-0.038143205
Mariscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0
P. mezianum,,3,7,5,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,4,,,2,,,,,,2,,,,,,6,4,,,1,,,,,,,,3,,,,,,,6,,,,,,,3,,3,,,,,,4,6,,3,,,,,,,,,,4,,3,2,4,,84,8.4,0.077922078,,0.132283465,-0.267584077
P. stramineum,4,,,,,1,,8,1,3,6,3,7,3,5,,9,1,10,4,,10,3,10,2,2,,1,6,,3,,,,,,,3,4,,7,,5,,,7,,4,6,5,1,3,3,8,1,7,6,,3,6,,1,5,,5,,,1,1,1,4,3,6,5,3,,,3,,2,3,,,2,,,6,5,5,6,6,5,,6,,,,2,,2,269,26.9,0.249536178,,0.423622047,-0.363854746
