,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0
Brachiaria,5,,,,2,,,,,3,,,,,,2,,6,,,,,,3,,,,,,,,2,2,,4,,,,2,,,,2,4,2,9,,,,,2,,,,,,,,,2,,,,1,,,,,,,,,,,,,,6,9,,,,,,,,1,,3,,,4,3,3,,3,,5,,,90,9,0.085470085,,0.117801047,-0.251947946
Dinebra,,1,2,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.5,0.004748338,,0.006544503,-0.032913154
Eragrostis,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1,0.000949668,,0.001308901,-0.008689225
Lintonia,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,0.4,0.00379867,,0.005235602,-0.027498814
Mariscus,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.5,0.004748338,,0.006544503,-0.032913154
P. mezianum,1,,4,4,,3,3,,,,,,,,,3,2,2,,,,,3,7,10,,,,,,,4,3,,,7,,,,,,,,4,,,8,1,2,5,,4,,,,,6,,,1,5,4,,5,,,,,,,,,,,,6,4,2,,7,3,,,,,3,,2,2,7,,3,,3,1,1,2,,3,2,152,15.2,0.144349478,,0.19895288,-0.321246682
P. stramineum,,,,,,1,1,5,,,8,8,10,7,8,,4,,9,8,10,6,,,,5,1,5,6,7,,,5,9,,,,2,4,8,6,9,,,,,,,1,,2,2,5,8,4,4,,2,,,,,2,,,4,10,8,5,1,1,7,3,6,10,,,,,,8,6,7,5,4,,,,,,,1,4,,7,,,,,3,282,28.2,0.267806268,,0.369109948,-0.367877386
