,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,A,B,C,D,E,F,G,H,I,J,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0
Brachiaria,2,,3,,,,6,4,,6,3,,,,,,1,6,,,,1,,2,,,2,,,,,1,3,,,,,1,,,4,8,1,,,,3,,,,,,,,,,,,5,,,,,,,,,,3,,4,10,,,,,,,,,7,2,,,,,,,,,,4,,,,5,,,,,97,9.7,0.08973173,,0.116306954,-0.250237021
Dinebra,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,6,0.6,0.005550416,,0.007194245,-0.035499812
Eragrostis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0
Lintonia,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,0.3,0.002775208,,0.003597122,-0.020243241
Mariscus,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,0.2,0.001850139,,0.002398082,-0.014467833
P. mezianum,4,,,5,6,8,,,6,,6,,5,6,6,3,8,5,8,,4,4,,,,,,,,1,8,5,5,,,,,,,1,,,2,,,,7,6,7,6,5,2,10,,2,,,,,8,10,,8,,3,4,,9,5,,,,7,,,3,,4,2,3,2,9,3,9,7,,,3,,,2,,,7,6,5,,1,8,5,284,28.4,0.262719704,,0.340527578,-0.366836454
P. stramineum,,5,,3,,,1,3,,2,,3,,,,,,,,4,,,5,7,8,9,3,,,,,,1,3,5,6,7,4,5,,,,,3,7,8,,,,,,,,,,,4,,,,,,1,,,,10,,,,,,,9,10,,,,,,,,,,,8,9,7,8,7,,4,5,,,,5,,,,189,18.9,0.174838113,,0.226618705,-0.336412383
Sporobolus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0
Themeda,,,,,,,,,,,,,,1,4,,,,,,6,,6,,,,,,8,9,,,,,,4,1,1,,,2,3,2,2,,,,3,,,,,,,,3,3,7,,,1,3,2,4,,4,,,,10,2,,,,,,,5,2,7,,,,,,1,,,,4,3,1,1,2,,4,,,,,121,12.1,0.111933395,,0.145083933,-0.280076242
A,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,0.2,0.001850139,,0.002398082,-0.014467833
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0
G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0
Aerva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,1,9,0.9,0.008325624,,0.010791367,-0.048874196
Aspilia,4,2,4,,,4,,,,,,,,,,4,,,,,,,2,,,,2,,,,,,,,,,,,4,,,,,2,,,,,,,,,,1,,,2,,3,4,,1,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,2,1,47,4.7,0.043478261,,0.056354916,-0.162081574
