,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,2,,,,,,10,1,0.009407338,,0.014492754,-0.061363862
Brachiaria,,8,,,,,2,2,3,3,,,,4,,,,1,,3,1,,,,,,,4,,7,,,,,,,2,,,,,,,6,,,4,3,,,3,,,4,2,,,,,,,,3,,,3,,4,5,,,1,,,2,,,,3,3,4,,,,,,6,,,1,,,,,4,4,,,1,1,107,10.7,0.100658514,,0.155072464,-0.289033791
Dinebra,,,,,,,,,2,,1,,2,,1,,,,1,,,,1,1,,,,1,,2,,,,,,,1,,,1,,,,,1,,,2,,,,,,,,1,,1,,,2,,,,,,,1,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,1,,,28,2.8,0.026340546,,0.04057971,-0.130037157
Eragrostis,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.6,0.005644403,,0.008695652,-0.041260279
Lintonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,0.3,0.002822201,,0.004347826,-0.023643823
Mariscus,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,12,1.2,0.011288805,,0.017391304,-0.070465825
P. mezianum,8,,4,,,2,,,,,,,,,,,,2,7,2,,,,,,,,,6,,5,8,5,,,2,3,,,6,1,,5,,,,,,6,,,,,,,,2,,7,,,6,,,,,,,,,6,,,10,,,,,,,,,,,,7,,3,,,3,,,,2,,,,,,118,11.8,0.111006585,,0.171014493,-0.302012787
P. stramineum,,,,,5,,,,,,,,,3,,2,,,,,,,,,5,9,6,,,,,,3,1,3,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,,,,5,5,9,,,,5,,,,4,,,2,10,3,4,,97,9.7,0.091251176,,0.14057971,-0.275814667
