"trap.station","trap.station_2","pin.frame.data.cover","Species","Sp_Pin_Hits","Treatment","Block","Date"
1,"A",NA,"bothriochloa",NA,"C","N",20010501
1,"A",NA,"brachiaria",5,"C","N",20010501
1,"A",NA,"dinebra",NA,"C","N",20010501
1,"A",NA,"eragrostis",NA,"C","N",20010501
1,"A",NA,"lintonia",NA,"C","N",20010501
1,"A",NA,"mariscus",NA,"C","N",20010501
1,"A",NA,"p..mezianum",1,"C","N",20010501
1,"A",NA,"p..stramineum",NA,"C","N",20010501
1,"A",NA,"sporobolus",NA,"C","N",20010501
1,"A",NA,"themeda",NA,"C","N",20010501
1,"A",NA,"a",NA,"C","N",20010501
1,"A",NA,"f",NA,"C","N",20010501
1,"A",NA,"g",NA,"C","N",20010501
1,"A",NA,"aerva",NA,"C","N",20010501
1,"A",NA,"aspilia",NA,"C","N",20010501
1,"A",NA,"commelina",NA,"C","N",20010501
1,"A",NA,"conyza",NA,"C","N",20010501
1,"A",NA,"discoriste",NA,"C","N",20010501
1,"A",NA,"helichrysum",NA,"C","N",20010501
1,"A",NA,"hibiscus",NA,"C","N",20010501
1,"A",NA,"indigofera.sch.",NA,"C","N",20010501
1,"A",NA,"indigofera.brev.",NA,"C","N",20010501
1,"A",NA,"leucas",NA,"C","N",20010501
1,"A",NA,"lily",NA,"C","N",20010501
1,"A",NA,"misopates",NA,"C","N",20010501
1,"A",NA,"monechima",NA,"C","N",20010501
1,"A",NA,"monsonia",NA,"C","N",20010501
1,"A",NA,"oxygonum",NA,"C","N",20010501
1,"A",NA,"pavonia",NA,"C","N",20010501
1,"A",NA,"pelargonium",NA,"C","N",20010501
1,"A",NA,"phyllanthus",NA,"C","N",20010501
1,"A",NA,"polygala",NA,"C","N",20010501
1,"A",NA,"pomea",NA,"C","N",20010501
1,"A",NA,"portulaca",NA,"C","N",20010501
1,"A",NA,"rhinacanthus",NA,"C","N",20010501
1,"A",NA,"rhynchosia",NA,"C","N",20010501
1,"A",NA,"solanum.big",NA,"C","N",20010501
1,"A",NA,"solanum.small",2,"C","N",20010501
1,"A",NA,"b",NA,"C","N",20010501
1,"A",NA,"c",NA,"C","N",20010501
1,"A",NA,"d",NA,"C","N",20010501
1,"A",NA,"e.",NA,"C","N",20010501
1,"A",NA,"h",NA,"C","N",20010501
1,"A",NA,"j",NA,"C","N",20010501
1,"A",NA,"k",NA,"C","N",20010501
1,"A",NA,"l",NA,"C","N",20010501
1,"A",NA,"n",NA,"C","N",20010501
1,"A",NA,"cactus",NA,"C","N",20010501
1,"A",NA,"commicarpus",NA,"C","N",20010501
1,"A",NA,"m",NA,"C","N",20010501
1,"A",NA,"plectranthus",NA,"C","N",20010501
1,"A",NA,"sida",NA,"C","N",20010501
1,"A",NA,"tragus",NA,"C","N",20010501
1,"A",NA,"bares",3,"C","N",20010501
1,"B",NA,"bothriochloa",NA,"C","N",20010501
1,"B",NA,"brachiaria",NA,"C","N",20010501
1,"B",NA,"dinebra",1,"C","N",20010501
1,"B",NA,"eragrostis",NA,"C","N",20010501
1,"B",NA,"lintonia",NA,"C","N",20010501
1,"B",NA,"mariscus",NA,"C","N",20010501
1,"B",NA,"p..mezianum",NA,"C","N",20010501
1,"B",NA,"p..stramineum",NA,"C","N",20010501
1,"B",NA,"sporobolus",NA,"C","N",20010501
1,"B",NA,"themeda",10,"C","N",20010501
1,"B",NA,"a",NA,"C","N",20010501
1,"B",NA,"f",NA,"C","N",20010501
1,"B",NA,"g",NA,"C","N",20010501
1,"B",NA,"aerva",NA,"C","N",20010501
1,"B",NA,"aspilia",NA,"C","N",20010501
1,"B",NA,"commelina",1,"C","N",20010501
1,"B",NA,"conyza",NA,"C","N",20010501
1,"B",NA,"discoriste",NA,"C","N",20010501
1,"B",NA,"helichrysum",NA,"C","N",20010501
1,"B",NA,"hibiscus",NA,"C","N",20010501
1,"B",NA,"indigofera.sch.",NA,"C","N",20010501
1,"B",NA,"indigofera.brev.",NA,"C","N",20010501
1,"B",NA,"leucas",NA,"C","N",20010501
1,"B",NA,"lily",NA,"C","N",20010501
1,"B",NA,"misopates",NA,"C","N",20010501
1,"B",NA,"monechima",NA,"C","N",20010501
1,"B",NA,"monsonia",NA,"C","N",20010501
1,"B",NA,"oxygonum",NA,"C","N",20010501
1,"B",NA,"pavonia",NA,"C","N",20010501
1,"B",NA,"pelargonium",NA,"C","N",20010501
1,"B",NA,"phyllanthus",NA,"C","N",20010501
1,"B",NA,"polygala",NA,"C","N",20010501
1,"B",NA,"pomea",NA,"C","N",20010501
1,"B",NA,"portulaca",NA,"C","N",20010501
1,"B",NA,"rhinacanthus",NA,"C","N",20010501
1,"B",NA,"rhynchosia",NA,"C","N",20010501
1,"B",NA,"solanum.big",NA,"C","N",20010501
1,"B",NA,"solanum.small",NA,"C","N",20010501
1,"B",NA,"b",NA,"C","N",20010501
1,"B",NA,"c",NA,"C","N",20010501
1,"B",NA,"d",NA,"C","N",20010501
1,"B",NA,"e.",NA,"C","N",20010501
1,"B",NA,"h",NA,"C","N",20010501
1,"B",NA,"j",NA,"C","N",20010501
1,"B",NA,"k",NA,"C","N",20010501
1,"B",NA,"l",NA,"C","N",20010501
1,"B",NA,"n",NA,"C","N",20010501
1,"B",NA,"cactus",NA,"C","N",20010501
1,"B",NA,"commicarpus",NA,"C","N",20010501
1,"B",NA,"m",NA,"C","N",20010501
1,"B",NA,"plectranthus",NA,"C","N",20010501
1,"B",NA,"sida",NA,"C","N",20010501
1,"B",NA,"tragus",NA,"C","N",20010501
1,"B",NA,"bares",NA,"C","N",20010501
1,"C",NA,"bothriochloa",NA,"C","N",20010501
1,"C",NA,"brachiaria",NA,"C","N",20010501
1,"C",NA,"dinebra",2,"C","N",20010501
1,"C",NA,"eragrostis",NA,"C","N",20010501
1,"C",NA,"lintonia",NA,"C","N",20010501
1,"C",NA,"mariscus",NA,"C","N",20010501
1,"C",NA,"p..mezianum",4,"C","N",20010501
1,"C",NA,"p..stramineum",NA,"C","N",20010501
1,"C",NA,"sporobolus",NA,"C","N",20010501
1,"C",NA,"themeda",NA,"C","N",20010501
1,"C",NA,"a",NA,"C","N",20010501
1,"C",NA,"f",NA,"C","N",20010501
1,"C",NA,"g",NA,"C","N",20010501
1,"C",NA,"aerva",NA,"C","N",20010501
1,"C",NA,"aspilia",NA,"C","N",20010501
1,"C",NA,"commelina",2,"C","N",20010501
1,"C",NA,"conyza",NA,"C","N",20010501
1,"C",NA,"discoriste",NA,"C","N",20010501
1,"C",NA,"helichrysum",NA,"C","N",20010501
1,"C",NA,"hibiscus",NA,"C","N",20010501
1,"C",NA,"indigofera.sch.",NA,"C","N",20010501
1,"C",NA,"indigofera.brev.",NA,"C","N",20010501
1,"C",NA,"leucas",NA,"C","N",20010501
1,"C",NA,"lily",NA,"C","N",20010501
1,"C",NA,"misopates",NA,"C","N",20010501
1,"C",NA,"monechima",NA,"C","N",20010501
1,"C",NA,"monsonia",NA,"C","N",20010501
1,"C",NA,"oxygonum",NA,"C","N",20010501
1,"C",NA,"pavonia",NA,"C","N",20010501
1,"C",NA,"pelargonium",NA,"C","N",20010501
1,"C",NA,"phyllanthus",NA,"C","N",20010501
1,"C",NA,"polygala",NA,"C","N",20010501
1,"C",NA,"pomea",NA,"C","N",20010501
1,"C",NA,"portulaca",NA,"C","N",20010501
1,"C",NA,"rhinacanthus",NA,"C","N",20010501
1,"C",NA,"rhynchosia",NA,"C","N",20010501
1,"C",NA,"solanum.big",NA,"C","N",20010501
1,"C",NA,"solanum.small",NA,"C","N",20010501
1,"C",NA,"b",NA,"C","N",20010501
1,"C",NA,"c",NA,"C","N",20010501
1,"C",NA,"d",NA,"C","N",20010501
1,"C",NA,"e.",NA,"C","N",20010501
1,"C",NA,"h",NA,"C","N",20010501
1,"C",NA,"j",NA,"C","N",20010501
1,"C",NA,"k",NA,"C","N",20010501
1,"C",NA,"l",NA,"C","N",20010501
1,"C",NA,"n",NA,"C","N",20010501
1,"C",NA,"cactus",NA,"C","N",20010501
1,"C",NA,"commicarpus",NA,"C","N",20010501
1,"C",NA,"m",NA,"C","N",20010501
1,"C",NA,"plectranthus",NA,"C","N",20010501
1,"C",NA,"sida",NA,"C","N",20010501
1,"C",NA,"tragus",NA,"C","N",20010501
1,"C",NA,"bares",2,"C","N",20010501
1,"D",NA,"bothriochloa",NA,"C","N",20010501
1,"D",NA,"brachiaria",NA,"C","N",20010501
1,"D",NA,"dinebra",NA,"C","N",20010501
1,"D",NA,"eragrostis",NA,"C","N",20010501
1,"D",NA,"lintonia",NA,"C","N",20010501
1,"D",NA,"mariscus",NA,"C","N",20010501
1,"D",NA,"p..mezianum",4,"C","N",20010501
1,"D",NA,"p..stramineum",NA,"C","N",20010501
1,"D",NA,"sporobolus",NA,"C","N",20010501
1,"D",NA,"themeda",4,"C","N",20010501
1,"D",NA,"a",NA,"C","N",20010501
1,"D",NA,"f",NA,"C","N",20010501
1,"D",NA,"g",NA,"C","N",20010501
1,"D",NA,"aerva",NA,"C","N",20010501
1,"D",NA,"aspilia",NA,"C","N",20010501
1,"D",NA,"commelina",NA,"C","N",20010501
1,"D",NA,"conyza",NA,"C","N",20010501
1,"D",NA,"discoriste",NA,"C","N",20010501
1,"D",NA,"helichrysum",NA,"C","N",20010501
1,"D",NA,"hibiscus",NA,"C","N",20010501
1,"D",NA,"indigofera.sch.",NA,"C","N",20010501
1,"D",NA,"indigofera.brev.",NA,"C","N",20010501
1,"D",NA,"leucas",NA,"C","N",20010501
1,"D",NA,"lily",NA,"C","N",20010501
1,"D",NA,"misopates",NA,"C","N",20010501
1,"D",NA,"monechima",NA,"C","N",20010501
1,"D",NA,"monsonia",NA,"C","N",20010501
1,"D",NA,"oxygonum",NA,"C","N",20010501
1,"D",NA,"pavonia",NA,"C","N",20010501
1,"D",NA,"pelargonium",NA,"C","N",20010501
1,"D",NA,"phyllanthus",NA,"C","N",20010501
1,"D",NA,"polygala",NA,"C","N",20010501
1,"D",NA,"pomea",NA,"C","N",20010501
1,"D",NA,"portulaca",NA,"C","N",20010501
1,"D",NA,"rhinacanthus",NA,"C","N",20010501
1,"D",NA,"rhynchosia",NA,"C","N",20010501
1,"D",NA,"solanum.big",NA,"C","N",20010501
1,"D",NA,"solanum.small",NA,"C","N",20010501
1,"D",NA,"b",NA,"C","N",20010501
1,"D",NA,"c",NA,"C","N",20010501
1,"D",NA,"d",NA,"C","N",20010501
1,"D",NA,"e.",NA,"C","N",20010501
1,"D",NA,"h",NA,"C","N",20010501
1,"D",NA,"j",NA,"C","N",20010501
1,"D",NA,"k",NA,"C","N",20010501
1,"D",NA,"l",NA,"C","N",20010501
1,"D",NA,"n",NA,"C","N",20010501
1,"D",NA,"cactus",NA,"C","N",20010501
1,"D",NA,"commicarpus",NA,"C","N",20010501
1,"D",NA,"m",NA,"C","N",20010501
1,"D",NA,"plectranthus",NA,"C","N",20010501
1,"D",NA,"sida",NA,"C","N",20010501
1,"D",NA,"tragus",NA,"C","N",20010501
