,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,,,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,plnp
Bothriochloa,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2,0.00173913,-0.011051078
Brachiaria,3,4,,,,6,,,1,6,,,3,,1,,,,,,,,,,3,6,3,4,,,5,3,4,6,,1,,8,3,5,4,6,,,2,,3,8,9,,4,5,10,,,3,3,7,,,,,,7,,,,,10,3,,,3,,8,,7,3,,2,2,6,10,7,5,,,7,3,,5,5,,5,,,,5,,,242,24.2,0.210434783,-0.327979337
Dinebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,3,0.3,0.002608696,-0.015518882
Eragrostis,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,0.3,0.002608696,-0.015518882
Lintonia,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,2,,,,1,,5,,,,2,,19,1.9,0.016521739,-0.067789988
Mariscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,5,0.5,0.004347826,-0.023643823
P. mezianum,,,,,,6,,6,,4,,,,,,4,1,,,,,,,,5,1,,,7,,,,,,,,,,,,,,10,,,,,4,,,4,4,,4,,3,8,,,4,1,,,,2,3,,4,1,,5,5,,,,8,,,6,,1,,,1,3,,3,3,,,7,,,1,,,,1,5,8,143,14.3,0.124347826,-0.259224505
P. stramineum,10,,,3,4,,6,3,2,,,7,,4,1,,,,3,6,5,,,,,,9,2,,,,2,,2,7,5,5,,7,3,4,,,,6,9,5,,,6,,,,,6,2,,,3,2,,,8,,4,,6,,,2,,7,5,8,,,5,,,2,,,,,,4,,,,,,,,,,5,,,,,195,19.5,0.169565217,-0.300896473
