,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,,,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,plnp
Bothriochloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4,0.4,0.003496503,-0.019776195
Brachiaria,10,7,4,3,8,8,5,6,8,,1,,3,9,,,,,,,,,,,4,,,,1,4,2,2,8,,,3,,,9,,5,7,,,6,,,10,1,,,,5,,,,,10,2,9,,,6,,5,,,1,3,,2,4,,8,5,3,4,,,,,,,5,,1,3,3,7,,4,,,5,8,2,,,,,239,23.9,0.208916084,-0.32712553
Dinebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#NUM!
Eragrostis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.3,0.002622378,-0.015586557
Lintonia,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,1,,2,,,,,,,,,,,,5,,,,2,1,,,,3,,1,,,1,4,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,29,2.9,0.02534965,-0.09315972
Mariscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,6,0.6,0.005244755,-0.027537727
P. mezianum,3,3,,1,,2,,,,,,,,,4,4,,10,6,9,,,,,,6,,7,,,2,,,,,,3,5,,5,,,,,,,,,,4,4,10,3,,,,,4,,,,,,3,,,,,6,4,,,6,2,2,3,,,,,,,,3,,,4,,,,9,5,,,,,,9,,,151,15.1,0.131993007,-0.267286675
P. stramineum,,,,10,,,,,1,10,9,,7,,,,9,,,,,,,,,,1,5,8,4,,,,10,6,7,6,,,,1,4,5,,4,8,,,,,,,1,10,4,,,,,3,5,,,,3,1,4,10,,,9,,2,,,,,,4,8,9,5,8,,,4,,2,4,,,,8,3,,3,10,,8,10,253,25.3,0.221153846,-0.333698305
