,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,,,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,plnp
Bothriochloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#NUM!
Brachiaria,2,3,2,,,3,5,1,4,10,,7,10,3,10,,,,,9,,,,,,5,,3,1,,,,5,,,6,,2,5,,10,,,6,,,3,5,3,,6,,,,2,2,6,,5,,3,,,10,,,8,,,2,1,7,3,,7,,8,1,6,,,,,,,,,,3,,,,,,7,3,,,,8,221,22.1,0.182644628,-0.31053476
Dinebra,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1,0.000826446,-0.005866426
Eragrostis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1,0.000826446,-0.005866426
Lintonia,,,,,,,,,,,,,,1,1,,,,,,,,,,2,,,,,1,,,1,1,,,,,,,,,2,,,,5,,,1,,,,,,,2,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,25,2.5,0.020661157,-0.080154955
Mariscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2,0.001652893,-0.010587154
P. mezianum,,,,,1,,,,1,,7,,,,,,,,,,,,,,,,4,8,6,4,4,8,1,8,8,,,,,,4,7,,,7,,,,4,5,,,,4,,,,,,5,4,2,,,,2,,,,5,8,,,,,6,5,,,6,2,,,,,,,,2,,,,,,,,,,,,138,13.8,0.114049587,-0.247615562
P. stramineum,,5,10,8,3,6,9,9,,,,,,,,6,10,10,8,3,6,,9,8,,6,,,,,,,,,,4,10,9,2,,,8,,1,,10,4,5,,,2,9,6,,9,,,6,2,3,2,,8,2,,4,,10,5,,,4,9,7,,4,,9,1,,9,6,3,7,10,,4,1,5,8,10,10,2,5,,4,4,10,5,,374,37.4,0.309090909,-0.362909769
