,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,,,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,plnp
Bothriochloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#NUM!
Brachiaria,,,7,2,,,3,,1,,,,,6,,3,,6,1,5,2,,5,7,7,,,,,,,3,,4,1,,,8,,6,,,10,,,,,,6,,,10,2,,3,4,4,,,9,1,6,2,9,6,1,,,,6,2,9,,,,,1,3,,,8,,,,,,,,8,9,,,,,2,4,3,5,1,,211,21.1,0.168261563,-0.299881746
Dinebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,0.1,0.000797448,-0.00568907
Eragrostis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,0.1,0.000797448,-0.00568907
Lintonia,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,3,1,,,,1,,,,,,,,,,,3,,1,1,,,,,,2,,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2.3,0.018341308,-0.073339544
Mariscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2,0.001594896,-0.010272642
P. mezianum,,,,,7,,,,,,,8,,,2,8,,,,,5,6,,,,,10,2,,,,,,,2,5,4,,,,,5,,,,,,7,,4,2,,,,,,,,2,,8,1,,4,,,,,,,,,,1,,4,,,,,,,,,,3,,,,,,1,5,,,2,,,,,108,10.8,0.086124402,-0.211173803
P. stramineum,1,,1,3,,10,5,1,3,,10,3,10,,,1,5,,,4,2,2,9,2,4,,,,10,6,10,,1,6,9,,2,,,,2,,,4,9,3,10,1,7,,,2,,,2,3,,3,2,1,,3,7,,5,9,1,,8,5,,1,1,6,,3,,,,,,,7,6,,5,,10,,6,2,,6,,4,,7,3,8,,282,28.2,0.224880383,-0.335563505
