,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,,,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,plnp
Bothriochloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1,0.000826446,-0.005866426
Brachiaria,10,,,,6,5,,,,5,,,,,,,,9,,,,,4,2,,1,,,,1,,3,,,,,,6,7,,,,,6,,4,,,,,,,,,,,,,1,7,,6,,,3,,,,,,,,,,2,,,1,10,,,,4,,9,,,,3,1,,6,8,6,6,1,,,,1,144,14.4,0.119008264,-0.25331651
Dinebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.3,0.002479339,-0.014875446
Eragrostis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8,0.00661157,-0.033183035
Lintonia,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2,,5,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,16,1.6,0.01322314,-0.057200488
Mariscus,,,,4,,,,,,,,,,,,,,5,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,14,1.4,0.011570248,-0.051595418
P. mezianum,5,8,3,5,3,2,4,,,,,,1,,,,2,,,3,,,,,10,,,,,3,,5,,,,1,,,,,7,,,,,5,5,6,,4,2,10,,,7,3,10,2,,5,5,5,,2,3,4,,,,,3,,,,,,,7,,10,4,,8,2,,,,,,,,,,,1,,,,,,175,17.5,0.144628099,-0.279651398
P. stramineum,,1,,2,,2,1,,,,,10,6,5,,,4,,5,5,10,1,3,,,,4,10,,2,,,,1,4,,,,7,7,4,5,,4,3,,,,3,,,,7,7,,3,,,,,,,1,,,6,5,10,6,2,,9,10,4,3,4,,,,,,,,5,,,5,8,5,4,6,,,2,,,3,6,10,,240,24,0.198347107,-0.320873398
