,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,,,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,plnp
Bothriochloa,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.5,0.004098361,-0.022529378
Brachiaria,,,8,,,3,3,3,,,1,2,,,,5,6,5,2,, ,2,4,3,,,,,,,,5,,,,8,,,3,8,,3,8,,,,,,,,,,,,,,,,4,,,,,,,,,,3,,,4,,,10,,,2,6,,6,,,,2,,,,,9,,5,6,,,5,,,3,4,151,15.1,0.123770492,-0.258596944
Dinebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1,0.000819672,-0.005825087
Eragrostis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#NUM!
Lintonia,3,,,,,1,4,,,2,,,,2,1,,,,, ,2,,,,,,2,,,,3,,,1,3,,,,,,,,,,,3,4,,,,2,,,,,,1,,1,2,3,,,,,,5,,3,,,,,,,,,1,,,,,,,,,,,1,,2,,,,,,,2,1,,55,5.5,0.045081967,-0.139721322
Mariscus,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,7,0.7,0.005737705,-0.029610551
P. mezianum,,5,,,,6,,,,,,,4,2,6,6,,8,,,,4,,3,7,,3,7,,,,,10,,,,5,5,10,7,,8,1,6,,,,4,2,,2,,,3,9,5,,,,7,4,3,,,4,6,,,,,,,3,7,,,,,3,,8,2,5,7,,,,,10,,,,6,,7,,7,6,9,3,245,24.5,0.200819672,-0.322385444
P. stramineum,6,,,4,2,1,3,,,,3,,,3,2,,,,7,3,5,,1,,,4,,,,2,,6,,,1,,,,,,7,,,,4,6,5,7,10,,2,9,9,2,3,4,,1,,,,,7,2,2,,,10,6,9,,,6,4,5,10,5,4,5,,,,,,7,,,,,,,2,3,,,2,,,,,211,21.1,0.17295082,-0.303485106
