,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,,,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,plnp
Bothriochloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,0.3,0.002425222,-0.014604282
Brachiaria,,,2,2,,4,10,2,3,4,7,3,,8,,10,,5,,,,2,6,,,,1,,,,,,9,5,,,,,5,,6,,8,,2,,,9,,2,,7,9,1,4,9,5,10,,,,,,,,,,2,,,10,10,,,,3,,,,,,4,10,,,,,,,,,,2,,2,5,7,10,,9,234,23.4,0.18916734,-0.314986938
Dinebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,0.2,0.001616815,-0.01039175
Eragrostis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2,0.001616815,-0.01039175
Lintonia,,,,3,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,2,,6,,,,2,,,,,,,,,,,,,8,,,,2,,,,,1,2,,,,,,,2,,,2,2,,,,1,,2,2,,,2,,,,,,,,,43,4.3,0.03476152,-0.116772436
Mariscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,0.3,0.002425222,-0.014604282
P. mezianum,,,4,,1,,,,,,5,,4,,,,8,,8,,7,6,,,,,,,2,9,,,,2,,,,,,,3,4,5,,,,,,2,4,8,,,,1,,,2,3,3,,3,5,9,8,7,,4,8,,,,3,,,9,4,,8,,,2,4,8,10,,4,7,5,8,5,,,,3,3,,,,,218,21.8,0.176232821,-0.305931245
P. stramineum,6,5,,9,1,,,4,,,,5,,1,10,1,,,,,,,,5,9,1,,,5,,8,,,4,,6,10,5,2,,,,,,5,4,4,,,,,,,2,,,4,,2,,,4,,,,,,,,,,,3,6,7,,,,,,1,2,,,,8,4,6,,,10,,5,5,,,,,,,179,17.9,0.144704931,-0.279723107
