,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,,,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,plnp
Bothriochloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#NUM!
Brachiaria,8,10,8,10,,,6,10,,,,,,,,,,,6,,3,10,,,,10,,,1,,,10,3,7,4,6,4,,6,,,,,5,,,2,5,5,,,,,2,,,,,,3,3,10,,,10,,2,,,,,,,8,,,,10,,,,3,,,,,,,,,,,,,,,,,,3,193,19.3,0.152088258,-0.286426947
Dinebra,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,8,0.8,0.006304177,-0.031940381
Eragrostis,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2,0.001576044,-0.010169956
Lintonia,,,,,,,,,,,,,,1,,,,5,,,,,,,2,,,2,,,,,,,,,,1,5,,,,,,,3,,,,,,,,,,2,,3,,2,4,,,,,,,,,,,,,,3,,,,3,1,,2,,,,,,,,,,,,,,,,,,,39,3.9,0.030732861,-0.107024815
Mariscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#NUM!
P. mezianum,,,,,,,,,,,9,,1,,1,,,1,,3,2,,,,5,,,10,,,,,,,,7,7,8,5,,,,,,1,,,,,,,2,,,,3,,7,4,,,3,4,3,,2,,,,,,,3,2,1,,3,,4,3,,7,6,,,,,6,,4,,,,,,,,,10,,137,13.7,0.107959023,-0.240317167
P. stramineum,,,3,3,5,,4,,7,7,,6,,,,4,,3,3,,4,,2,7,2,2,3,,10,5,10,,7,,4,,,,,6,1,,,8,,,2,3,,8,9,6,9,,2,,,,,1,,,,1,2,,7,4,6,2,2,10,,3,,4,7,,,3,3,,2,6,5,,10,3,4,,,10,10,2,5,3,3,8,,,281,28.1,0.2214342,-0.333840799
