,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,,,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,plnp
Bothriochloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#NUM!
Brachiaria,,,,,,1,8,,5,,,2,,5,,3,,,9,,2,,,,,1,,5,10,,,,1,5,2,8,,,,5,,,,,,9,6,2,,,,6,,,,4,,3,,,,,,5,,3,8,,,4,,,,,5,,4,,6,,,6,,,9,,,,,,,,10,8,,1,,,,,171,17.1,0.136690647,-0.272019166
Dinebra,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1,0.000799361,-0.005700798
Eragrostis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,8,0.8,0.006394884,-0.032308598
Lintonia,,,,,2,,,,,2,,,,4,3,,2,,,,,,1,,,,,,,,,,,4,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,2,,,,,,3,,,3,1,,,,,,,,,,35,3.5,0.027977618,-0.100057766
Mariscus,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,7,0.7,0.005595524,-0.029017201
P. mezianum,6,,,,,,,,,,6,,,,,,1,,,1,5,,,,,,7,4,,6,10,5,,,,,2,7,2,6,2,4,,,,,,,8,10,,,9,3,6,5,,1,6,,4,3,10,8,4,10,,4,,,,,7,4,,,,,,,3,8,,,,,,,6,5,5,,,,,,6,7,,,216,21.6,0.172661871,-0.30326678
P. stramineum,5,5,1,,,6,,,,,,,4,,4,,,4,1,1,2,,4,,1,3,,3,,,,,1,,2,3,7,,4,,8,,,6,10,3,,,,,5,2,,,,,2,,,4,8,,,,,,5,,7,1,2,10,2,2,3,,,,2,,3,,,,4,4,,6,3,,,5,,,4,8,,4,6,4,194,19.4,0.155075939,-0.289036793
