,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,,,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,plnp
Bothriochloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,0.3,0.002629273,-0.015620635
Brachiaria,,,5,,7,7,3,6,,4,,,,,,3,3,,,,,3,1,5,,2,,,,,1,,,,,,8,7,,3,,3,,3,4,,,,,,9,,,,,,,,,10,1,,2,,,,3,,,7,,1,2,5,1,2,,,,7,2,,,3,4,,6,,,,,,,2,,,2,2,2,,151,15.1,0.132340053,-0.267641943
Dinebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#NUM!
Eragrostis,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,3,,,3,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,19,1.9,0.01665206,-0.06819387
Lintonia,,,,,,,,4,,2,,,,,,,,,1,3,1,1,,,,2,,,2,6,,2,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,2,2,,,2,,,,,,1,,37,3.7,0.032427695,-0.111186214
Mariscus,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.3,0.002629273,-0.015620635
P. mezianum,,,,,,,,,,,6,,,,5,2,4,10,,,,,2,,2,7,,,,,,,,,3,4,,4,7,,3,,5,,,,,1,,,4,3,,7,8,1,,,,,,,,,,,1,,1,3,,5,6,,2,,3,,,,,,,,,,,9,,,,,,,,5,,4,,,127,12.7,0.111305872,-0.244369066
P. stramineum,10,10,,,2,,2,,1,,,10,10,4,,,,,5,5,5,,5,,,,10,,1,,6,1,,6,,2,,,,4,,1,,7,,10,10,6,5,,,4,,,2,,6,8,4,,,,,3,1,6,,,,,,4,,,,,4,1,6,,5,1,9,,4,5,4,,,4,4,6,,3,,2,,,,3,237,23.7,0.207712533,-0.32644106
