,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,,,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,plnp
Bothriochloa,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,0.008787346,-0.041603186
Brachiaria,,,5,,,,4,9,4,3,,4,2,9,,,1,,,3,5,,5,6,2,1,,3,,4,7,7,3,,,,7,,,4,4,2,5,7,,,3,3,,2,4,6,1,,,2,6,,2,2,6,,9,,,,,,3,1,5,,6,5,4,,,3,5,10,,8,,,,8,,,,3,,2,,,5,4,,,,,234,23.4,0.205623902,-0.325236662
Dinebra,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.3,0.002636204,-0.015654873
Eragrostis,,,,,,,6,4,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,1,,2,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,30,3,0.026362039,-0.095847897
Lintonia,,1,,,2,,,,3,3,,3,,,,,4,2,,,,,,,,,,,2,,,,,,,,,,1,,3,,1,,7,5,,,,,,,,,,,,2,2,,,,,2,,,,5,1,,,2,1,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,56,5.6,0.049209139,-0.148201979
Mariscus,,,,,,,,,,,3,,,,,,,,,,,8,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,18,1.8,0.015817223,-0.065588581
P. mezianum,3,,1,,,5,,,,,,,5,,,,,,,,,2,,,,,,,4,,,,,,,,,,8,,,,5,,,,,8,,,,,,,,,,,,5,,,,7,,,,,,1,,,4,2,2,,,,,,2,,10,,,2,2,,,,1,,3,4,,,,,,4,90,9,0.079086116,-0.200658713
P. stramineum,,,,,4,,,,,,,,,,,,4,,,,,,,,2,6,10,4,,,,,,10,8,,,4,,,,,,,,5,,,,,,,,5,,,,,,,,4,,,,,,,,,3,,,,,10,3,1,,,,,,1,7,,,,4,,,4,6,,,6,8,10,10,,139,13.9,0.122144112,-0.256814553
