,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,,,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,plnp
Bothriochloa,,,,,,,,,,,,,,,,,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.9,0.007334963,-0.036052099
Brachiaria,2,9,7,,,5,6,,,,,,,,,6,9,9,2,10,,,7,,,,3,5,10,7,,8,4,,,,,10,,,,,,,,,,,3,,,2,6,,,,,,6,,4,8,3,7,5,1,,,9,,5,4,,,5,,7,,5,4,3,,,6,,,,,,,,7,9,10,,10,2,,5,,255,25.5,0.207823961,-0.326504722
Dinebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#NUM!
Eragrostis,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,8,0.8,0.006519967,-0.032814252
Lintonia,,,,,,,2,,,3,,,,3,,,,,,,,,,,,,3,,,,,,3,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,6,,,2,5,,,,,,,,,,,,,,,,,,35,3.5,0.028524857,-0.10146233
Mariscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2,0.001629992,-0.010463212
P. mezianum,,,,4,,,,,,,,4,,,,,,1,,,,,2,,5,3,,2,,,4,,5,8,4,,,,6,3,,,6,6,,5,,,,,,7,,,10,,5,,,,,,7,,,,7,,,,,1,,,,6,,3,,,,4,,3,,,,,,8,,,,,3,,3,,,,135,13.5,0.11002445,-0.242829755
P. stramineum,,,3,2,7,,,,8,,,,,,4,1,,,,,,5,,5,,7,3,,,,,,,,,,8,,3,6,9,4,,,7,,5,3,,6,10,,,,,10,,,,5,3,,,,6,3,,,3,,,,,6,1,,,2,,,1,,,,,,1,6,,2,5,,5,2,,,,10,,,177,17.7,0.144254279,-0.279301919
