,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,,,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,plnp
Bothriochloa,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.9,0.007685739,-0.037417164
Brachiaria,,,,,,,,3,,,2,,,,,,,3,3,6,6,,,,,4,6,9,,,,,2,,10,,4,,,,,5,1,,,,,4,8,8,3,,,3,,,,,,,,,,5,2,,,,,,4,,,,2,,,,,2,,,2,,2,,1,,,2,,2,2,4,5,3,1,,,,129,12.9,0.110162254,-0.242996007
Dinebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1,0.000853971,-0.006033829
Eragrostis,,,,,,,1,,1,,,,1,,,,,,,,,,2,,,3,2,,,,,,,,1,,,,,1,,,,2,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,20,2,0.017079419,-0.069511206
Lintonia,1,2,,,1,,2,,1,2,2,,3,2,,,,,,,,1,,,,,,,,,,,,,,5,,2,,,,,2,,,,,,,,2,,2,,,2,,,,,3,,,,,,,3,1,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,45,4.5,0.038428693,-0.125237224
Mariscus,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,2,,,,6,,,,,,,,,26,2.6,0.022203245,-0.084539229
P. mezianum,4,7,,,,8,6,,,,,,,,,,,,,,,,,3,,,3,1,3,,,4,2,,,5,,,,,,,,8,,,,,,,,,9,4,4,,,10,,,,,,2,,8,,,,,,,,10,,5,,4,,,,,,1,,,,,4,7,6,,,3,,,,,5,,136,13.6,0.116140051,-0.250044708
P. stramineum,,,5,3,6,,,,,4,,,,,6,9,10,,,,,,,,7,,,,,,,,,,,,,,,8,10,2,,,,,,,,,,,,,,,,,6,10,3,,3,,5,,,,,10,3,9,10,,,,8,5,,6,10,1,4,1,6,5,5,3,,,,,7,,3,,6,,4,10,213,21.3,0.181895816,-0.310008894
