,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachiaria lachnantha,,1,9,10,1,,,,,,,,,,6,,10,6,2,,,6,,,7,6,4,9,10,7,,,9,5,10,5,7,6,1,10,,8,4,,10,4,10,9,,4,6,,,7,10,2,10,,,,6,2,4,5,,4,10,,10,,,5,6,3,10,8,,,,7,6,,,,,6,5,4,7,2,,2,6,10,,,4,8,,,,,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lintonia nutans,1,2,,,1,,5,,,3,2,,,,,2,,1,,2,5,1,,6,2,,,1,3,,2,1,,,,,,,6,,,4,,4,,,,,1,,,,,2,,,,,,5,,,,,,,,1,,,,,2,,,,,,,,,3,,,2,,1,,,8,10,,,,,,,1,3,,,,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pennisetum mezianum.,,,2,,,4,3,,,2,2,3,,6,,1,,3,,,,,,,,,,,,,,,,,,2,,,,,,,5,3,,,,,3,4,,6,,,,,,,,2,,,,,3,,,5,,,,,,,,,,,,,,,,,,,4,2,,,2,,,2,,,3,,,2,,,,,,
pennisetum stramineum.,,9,,,,,,6,10,4,9,6,4,3,6,3,3,,1,8,4,2,6,2,1,6,5,3,1,3,,2,,5,,5,2,4,,,5,,3,,,8,1,4,3,,,,1,,,6,2,5,7,10,5,5,5,9,5,6,,6,1,10,5,3,2,3,3,4,10,10,8,5,5,9,10,10,7,2,,10,2,3,2,9,4,1,6,10,6,5,2,1,,,,,,
