,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
Brachiaria lachnantha,9,7,,,7,5,2,3,,10,,,8,7,,9,6,4,4,1,2,,10,8,3,6,6,6,6,,10,5,5,,,4,5,,,7,3,3,6,,2,,4,10,2,10,2,,8,3,,,7,,,6,,,7,,1,4,,8,5,,4,7,8,7,8,,,,2,4,,6,6,7,6,,10,8,9,3,10,,5,5,,,1,9,,,381,,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
Lintonia nutans,,,1,2,,2,1,7,,,,,,,,,3,1,2,3,2,3,,2,,1,1,,,,,,,,,6,,3,5,,,,1,5,3,2,,,,,,,,,,,2,,1,,1,5,,4,2,5,1,1,,6,,,1,,3,,,4,3,,3,1,,2,2,,,,,4,,1,,2,8,,2,,,,120,,,,,
Mariscus {cyperus) spp.,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,8,,,,,
pennisetum mezianum.,,,,,,2,,,,1,8,5,,2,,,,,,2,,,,,,2,3,,,,,1,,,,,,4,,,,1,,,3,,,,,,,1,,,,,5,,,,3,,,,,5,,,1,,1,4,,,,6,,3,1,,,,,3,2,,5,,2,,,3,,,,,5,,6,,90,,,,,
pennisetum stramineum.,5,,5,7,6,,7,,3,,,5,4,3,5,,,,5,6,3,,,,7,2,,,,,,9,4,10,7,2,8,,8,,8,5,,,6,9,6,,,1,,2,,4,3,10,,4,6,,9,5,4,,,,2,,2,,,,6,,,,4,8,,5,,,,,,,,,,,,2,1,,4,8,5,,,,250,,,,,
