,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,
Brachiaria lachnantha,,6,,,,,5,5,10,9,7,10,10,7,6,2,,,4,3,4,8,,10,10,3,1,4,,9,,,10,10,7,3,,6,4,4,10,10,,6,1,,10,,3,,4,,,,6,8,10,2,5,,10,5,,2,,,8,,,,6,8,,,4,,10,5,6,8,,,,7,5,6,,,,,,,,,10,,,,,,352,,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Lintonia nutans,,,,,,,,,,,3,,,,,,,,,,,,,,,5,3,,6,5,4,,,3,2,,2,4,5,8,,,3,,,1,,3,3,7,4,,,,,,,2,,,,1,,,3,,2,,,4,7,,,,,4,,,,,,,,,2,,3,,,1,,,,,1,,10,,3,2,116,,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
pennisetum mezianum.,,,,,8,6,,,,,,,,,,,,,,,,,,,,,,4,5,,2,2,2,5,5,,1,,,,,,2,,4,,,,,5,,,,1,,,,,,,,3,,5,2,5,,3,,7,,,,,2,,,,,5,5,,,,,,,,,,,,,,,6,,,,,95,,,,,
pennisetum stramineum.,5,3,9,2,6,5,10,9,,,5,,,,,10,10,10,2,6,7,,10,,1,2,,,,,,9,,,4,,10,7,7,,,,6,6,,9,9,7,4,3,7,10,10,3,10,7,1,4,1,6,4,,9,3,8,6,,8,10,,2,6,10,5,,10,5,6,,,10,7,4,4,10,7,10,3,10,10,10,10,10,10,,5,2,8,10,10,494,,,,,
