,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,3,,,,,,,,,,,4,,,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachiaria lachnantha,9,,,,,10,,,5,2,,4,10,,9,,,,9,3,5,,,,6,,,8,8,,5,3,,6,4,8,,,,,8,6,3,,,7,4,1,,5,,,,,,,6,,,5,7,6,,2,,,4,,,,,,6,8,5,6,7,4,2,,6,5,,,7,10,,3,2,,2,,1,,6,6,,,,,,,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis sp.,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lintonia nutans,,,,,4,,7,,,,6,,1,2,4,,1,,,,,,1,,,2,,,,,,3,,,1,,,2,2,1,,,,,,4,7,,2,,,,4,3,2,3,,1,,2,,,9,1,,,,,,,,,,,3,1,2,,3,,,4,2,2,,,8,,,,,3,2,,1,,,,4,,,,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
pennisetum mezianum.,,5,4,,,,5,,,,,,,9,,,,,,,4,,4,,,,,6,,,1,7,4,,,,,,,,,4,,,,2,,,,,,1,1,2,5,,,,,,,,3,7,1,,,,,,,,,,2,5,,1,2,3,,1,,1,,1,3,,,2,,,,5,,,,,,,,,,,,
pennisetum stramineum.,,2,,6,4,4,5,10,6,7,4,6,,,6,10,8,10,5,8,2,8,7,10,3,8,10,,9,9,3,,4,3,,4,9,10,10,3,9,,8,8,9,5,,9,6,6,9,9,3,1,6,10,3,,,7,4,5,,,3,,,9,1,8,7,10,2,,,,,3,5,2,5,,7,9,,,1,6,9,5,9,,,3,,5,3,,,6,,,,,,
