,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Brachiaria lachnantha,,,10,5,4,,,,5,8,,6,9,9,,10,,10,5,10,10,6,8,10,9,7,10,10,4,,2,8,9,8,7,8,,,4,10,,10,8,,,5,,8,,7,,10,,,4,,,10,10,2,,,,,,,,,,,,,,,,,,,,,10,,5,10,6,,3,9,,,6,2,2,6,7,10,10,10,9,10,,,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,,9,,,,,7,7,,6,8,,,,10,8,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lintonia nutans,1,3,,,,,,5,5,1,2,,,,,,8,,,,1,,2,4,,,4,,,,5,,,7,,,,4,2,,5,,2,8,,,,,5,,1,,10,3,,3,1,,,1,,,1,,,,,4,,,2,,,,,,,1,,,,,,,,5,1,,,5,,,5,4,2,,,,,,,,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pennisetum mezianum.,,1,,,,4,,,2,1,,,,,6,,,,,,,,3,6,,,,,,,5,2,,1,6,3,9,5,2,2,,,,,,,,,,4,6,2,,,,,,3,,6,,2,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,4,,,5,3,,6,,,1,,,,,,,
pennisetum stramineum.,2,2,4,6,7,6,8,3,,5,4,3,,3,5,,3,1,10,,1,,,,4,4,3,3,7,6,3,2,2,,2,7,1,6,,,,,7,6,10,9,10,5,3,,5,,2,8,9,10,10,,,,,,10,3,10,10,8,6,8,7,7,,4,10,10,9,2,,3,,,10,10,1,5,,10,2,5,1,3,8,4,10,2,,2,,2,,,,,,,
