,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,2,,,,,,,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,
Brachiaria lachnantha,6,,10,,,2,,,,3,5,,,9,7,,3,10,3,,,,9,,3,,3,,2,2,2,,,,4,6,,,,1,,,,,4,4,,5,5,2,,,,,,3,3,,8,,,5,2,4,2,,1,,9,6,,6,2,,5,,,6,10,1,,,3,6,,2,,,7,2,10,,,,,,,,9,,222,,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,,,,
Lintonia nutans,2,2,,,,,7,1,2,,1,,1,1,2,3,1,,1,,6,2,,,,3,2,,,,1,,7,,2,2,4,,,,1,7,4,4,,,,2,,,4,4,3,2,4,6,,,,,4,,1,2,,,3,3,,,,,,2,,,3,,,2,,1,2,,2,,,,1,5,,,2,1,,,,,,2,130,,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,
pennisetum mezianum.,3,7,,2,5,,,,,,1,,2,2,5,1,4,4,,7,,4,3,5,,2,2,6,,3,,10,,4,,,3,8,5,3,,7,6,4,2,5,,,,,3,,,,,,6,3,,5,,,3,5,,,,,4,2,10,,2,5,,,,9,,7,3,5,7,,,4,,,,1,3,3,4,5,1,,6,6,,7,244,,,,,
pennisetum stramineum.,3,5,,,5,3,3,1,2,5,7,9,,,,,3,,2,3,,,,4,8,5,,2,3,4,,2,6,7,4,2,,,,,,,,,,,7,8,8,2,7,10,9,7,4,10,4,3,,,,,5,6,4,6,,3,3,5,,,4,6,9,10,10,,1,,,,,7,9,,8,1,5,,1,,3,,2,10,,,,,295,,,,,
