,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachiaria lachnantha,,,10,,9,7,,10,3,9,10,9,3,1,,5,,10,,6,,2,7,,,,6,7,,,8,,7,7,,,,,,,,,4,10,,7,10,7,,7,,10,10,,10,7,10,10,,,,1,,,,,10,4,3,2,10,5,,,6,10,,,,,,3,10,3,5,5,,,,,,3,8,7,7,,7,10,4,7,,,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis sp.,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lintonia nutans,,,2,,,2,,,,,,2,1,4,,,,,3,,4,8,,,3,4,,,6,8,,,2,3,,8,3,,,3,3,4,3,3,,,,,,1,7,,,,,2,,,2,3,6,4,,2,1,2,,,4,,,,4,,,,,,,,,3,,,3,,,,,3,,,,,,2,,,4,2,,,,,,
Mariscus {cyperus) spp.,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pennisetum mezianum.,,3,,,2,6,4,1,,2,5,,,,,,5,4,5,3,2,,,,,,2,,1,,,,8,2,,,,5,5,5,5,6,9,,,,,2,2,3,5,,,,3,,,2,1,5,,3,6,3,7,,,4,1,4,,5,2,4,,2,9,,8,2,,1,3,5,4,,,,2,7,5,,,,2,4,,,,1,,,,,,
pennisetum stramineum.,9,,2,7,,,3,,,2,,,4,,10,1,2,,3,,,,2,3,10,,,,2,,3,,,2,7,5,10,7,,,,,,,9,3,,4,,,,,,,,,6,,6,,,1,,,,,3,4,,,,,7,9,5,,,7,,,6,7,,,,4,6,9,,,10,9,7,5,,,,,,,,,,,,
