,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachiaria lachnantha,4,,,3,10,4,6,,3,,,,,8,9,,,3,10,4,,1,4,6,10,,6,1,3,,2,,2,2,4,2,,,,5,1,2,,1,,7,10,10,,2,,2,6,8,,9,,,1,,5,9,5,1,1,3,7,,6,3,,,,,9,,7,6,5,,3,10,,5,4,3,3,,,,,9,5,3,,6,6,,7,,,,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis sp.,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Lintonia nutans,,,,1,1,,3,,,2,,2,7,1,,,4,,,2,,3,,4,,,,2,1,,,,,,2,3,4,2,,2,3,,3,,,,,,1,,,,1,,,,,,3,2,,,4,1,,,,,2,,,2,,,,,,1,1,,5,,,,3,,,2,,9,7,,,4,2,4,,2,,,,,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,
pennisetum mezianum.,,,,,,,,,,,5,2,,,,,6,,,6,1,,,2,,,2,1,,1,7,4,4,1,,1,,3,,4,4,,,,,,4,,1,,,,,,3,5,,,5,,,,,,,3,,8,,,,,6,3,1,1,,,,4,,2,3,,,,,3,2,,5,,,,,,3,6,,,,,,,,
pennisetum stramineum.,2,8,10,6,,,5,1,,,,4,2,,2,2,,4,2,5,,,3,,3,3,,6,,,,,1,,,6,7,,7,,1,,8,5,10,,,2,3,5,9,7,1,1,,1,3,2,,2,8,5,,,,1,8,4,4,7,8,10,6,,,1,,5,,,7,,1,,6,7,3,,4,,,4,,4,4,3,,,3,6,,,,,,
