,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,2,,,1,,1,,5,,,,,,,4,5,,,,,3,,,,5,,,6,,3,,3,5,,2,,,1,,,1,,,,1,,,1,3,2,,,,,,,,,,1,,,3,,,,3,3,,4,4,,2,2,2,,,,2,,,,,,1,,81,,,,,
Brachiaria lachnantha,2,2,7,3,4,6,5,7,,2,9,5,,6,,1,8,6,9,1,6,6,9,10,6,7,,9,8,,5,8,7,,,10,9,3,,6,4,5,,7,5,2,3,7,,4,3,3,5,4,3,5,5,,3,1,10,,2,6,,5,,10,,2,9,4,9,3,10,10,7,9,9,7,,6,,,3,,7,,,2,,,1,2,,9,,,2,4,409,,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Eragrostis sp.,3,5,,,1,,,,,10,,,1,,,,,1,,3,3,,,,,,,,,2,2,,,,,,,2,,,,,6,,,,,,,,,,,,,5,,,2,,,,,,3,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,52,,,,,
Lintonia nutans,,1,,,4,,6,,5,,,,4,,4,,,,,3,,,1,,2,,,3,6,4,,,4,,,,,1,,,4,,,2,1,,1,2,3,2,1,,,2,5,,,4,,3,,1,,,2,1,,,,,,2,5,,,,,,3,,6,7,,,,,,1,1,,,,,,1,,,,,,108,,,,,
Mariscus {cyperus) spp.,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,
pennisetum mezianum.,,,,,,,1,1,,,2,6,,,,,,,2,,5,2,,,,,,,,,,3,,,,2,,2,,,,,,1,,,,,3,,,9,,5,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6,,,,,,1,55,,,,,
pennisetum stramineum.,,,,,2,,,,,,,,,7,1,1,,,,,,8,,,7,9,10,,,,,,,10,7,,,,10,,,,,,,7,,,,,,,,,,,,2,,,,,9,5,,,,,,,,,,,,,,2,,,,,10,9,2,,,,7,7,,8,2,,,10,10,10,4,,176,,,,,
