,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,3,,3,,,,,,,,,,,9,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,10,,3,,3,,,,,,4,5,,,,,,,,6,,,,,,,,,,,,,,,,2,,,1,,,,,,,,2,2,,,,,,,,,,,,,,,
Brachiaria lachnantha,,,,4,,6,1,10,,6,,2,5,,,6,,,,,4,10,7,,,,10,5,10,,,1,9,7,10,4,,7,6,10,10,,,,6,5,7,7,1,5,2,,1,7,6,,7,1,,,10,6,,,8,2,9,1,3,4,,,8,,2,,,,,1,,,,10,,,,3,3,1,7,4,,1,,,2,2,4,,,,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lintonia nutans,,1,6,,,,9,,4,,,,,5,,,,,,,,,,,,,,,,5,,,,1,1,,5,,,,,,,,,1,2,,,3,,,10,,,4,,,,2,,2,,3,2,,,,7,,,,,7,,3,,8,,1,,8,7,,5,8,1,2,,,,,1,5,1,,6,1,,10,,,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pennisetum mezianum.,,,,3,,,1,,6,2,,,,,,1,,,,,,,,,,,4,,2,,,,,,,8,,2,,,4,,,,,,,,,,3,,,,3,,,,,,,2,,,,8,,,2,,2,,,3,4,1,,,1,5,2,,,,,,,,,,,3,,,2,,,5,,,,,,,,
pennisetum stramineum.,9,,,,10,4,,,,2,,9,6,,10,7,,6,,10,,3,,10,10,10,,1,,9,5,7,4,9,5,3,10,2,10,5,,7,9,6,7,,,,,6,4,6,,,,,3,10,10,,6,,,,,,,9,,,9,10,2,1,,,8,4,2,,9,,,4,10,,,9,,7,,,8,,6,9,,,7,,,,,,,
