,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,4,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,3,,,,,6,,,,,,,,,,,,,,,6,,,,,5,,,,,,,,,,2,,,,,,,,,4,,,,,,6,2,,,,,45,,,,,
Brachiaria lachnantha,9,10,,10,3,9,3,,,,,,,1,1,3,7,9,7,10,5,,5,6,5,10,,,7,9,,5,8,,7,,9,3,8,,,,,,3,,,6,10,,,,5,4,6,7,,5,8,,,5,,,,6,8,5,8,6,4,10,,,4,3,8,9,3,10,9,10,,3,5,,,10,8,8,,10,10,6,7,10,,2,8,5,423,,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Lintonia nutans,,,,,,,8,,4,3,7,4,1,5,,4,,3,,,,1,,4,1,,6,,4,,,6,1,9,,6,,3,,,,3,1,1,,3,3,,,,,9,,4,,,,6,,10,1,,7,,,1,3,2,,,,,10,5,5,4,,,5,,,,4,7,1,6,5,,5,,,,,,1,,7,,,,199,,,,,
Mariscus {cyperus) spp.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,5,,,,,
pennisetum mezianum.,,,5,,,,,,,,,4,,8,,,,4,,,3,,4,,6,,,,,,,,3,,,6,2,2,,2,,,,,,,,,,,,1,,1,,,9,,,,3,2,7,1,,2,,,,,1,2,,,,,,,,,,,5,,7,,,,,1,1,,,,,,2,3,,,97,,,,,
pennisetum stramineum.,,,,2,9,6,,6,10,2,2,,,3,7,10,,,6,,,10,,2,4,3,1,10,5,2,10,1,,2,,,8,,,7,10,6,7,8,1,7,5,8,,5,9,,,,4,5,,,,,7,7,,10,5,,,3,,,,,,4,3,1,,5,,,,,3,,3,,4,,,,2,,4,10,,,,7,,7,288,,,,,
