,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,1,,,1,,,1,3,,2,,,,,,,,,3,2,2,,,,,,3,2,,,,,,6,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,5,,3,,,,,,,4,6,,,,,,,,,,
Brachiaria lachnantha,,3,,,,7,1,6,5,1,4,,3,3,8,,2,,4,3,10,4,,5,10,2,4,7,,,,2,2,5,5,5,1,,6,,,,,,,10,,,,2,10,10,8,,6,,,,,8,,3,6,,10,5,4,,,5,7,,,6,3,,1,4,6,2,,,,5,3,6,5,,,9,,4,5,4,3,,10,2,,,,,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis sp.,,,,,,,4,,,,,,,,,,,5,,,3,,1,3,,,,,,,,1,,,,,2,,,,,,,,1,,,,,,,,,,1,,8,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lintonia nutans,1,1,6,,,1,4,,,,2,,,2,,,,,,1,2,1,2,,,,7,4,,1,2,,,3,5,,5,9,,,,,2,1,,,1,3,8,,,,,1,,4,,1,2,,3,6,,,,,2,,6,,1,,2,,3,,,1,,5,,7,,,,6,,,2,,,,1,,,,,,,,,,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pennisetum mezianum.,,2,,,,,,,,2,,1,,2,5,,,,,4,,,2,,,,,,,,,4,4,,,4,3,,,6,,,1,,,,,,2,,,,2,,,,,7,,,1,,,5,,3,,6,,,,2,,,,10,10,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,
pennisetum stramineum.,,,6,10,10,,,,,,,,,,,8,10,3,,,,,,,2,,,,6,,,,,,,,,,,8,8,3,,,,,,7,,,,2,,,,,,,8,7,1,,,,8,,,7,1,8,,10,7,,,,,5,2,7,2,1,7,8,5,4,5,8,5,,,,7,3,7,4,,8,10,5,,,,,,
