,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,0.5,,,,
Brachiaria lachnantha,8,7,4,3,7,7,,2,,10,1,,10,,5,9,10,8,1,5,,5,10,8,,6,7,10,9,,10,2,4,,,,3,,6,10,2,,7,,,,4,,8,10,,6,8,,3,8,6,2,,1,,,,,,1,,4,8,8,3,5,4,,4,,4,,,4,8,10,7,3,9,6,5,5,6,10,6,,8,10,,,,9,,,399,39.9,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,2,0.2,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8,,,,
Lintonia nutans,2,,,4,,2,,3,,,,2,1,,,,,,,,3,2,,2,2,,,,,,,,4,2,,7,,5,2,,,,,1,4,,,1,,,,,,,,,3,,,5,,5,,,8,3,2,,,,,,,3,1,6,,4,,,2,2,,,,,,3,,3,3,,,,8,3,,,,,113,11.3,,,,
Mariscus {cyperus) spp.,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,2,,,,1,,2,,,1,,,,,,,,,15,1.5,,,,
pennisetum mezianum.,,,,,,,,,,1,7,,,,,,,,,,,,1,4,,,,,,,,,,,,,,8,,,,,,,4,,,,3,,,,,,,4,5,,,,8,,3,3,,1,,,,,9,2,,,,3,,,,,,,,,,,6,5,,,,,,,,,3,1,5,2,88,8.8,,,,
pennisetum stramineum.,6,2,6,6,7,,9,4,7,,,10,2,3,5,,,,9,5,6,,,,7,5,,,,,,10,5,10,10,5,9,,2,,10,6,3,,6,10,8,4,,,4,6,,4,8,8,2,6,5,2,4,,3,,,,3,,,,,,1,,,,,7,5,4,,,,,,5,,2,,,,4,5,,4,10,8,,,,307,30.7,,,,
