,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,14,1.4,,,,
Brachiaria lachnantha,,9,,,,,3,8,2,10,8,10,10,7,10,,,,,6,9,4,4,7,10,5,2,10,8,7,4,,10,7,7,,,3,,5,10,3,3,9,,3,9,5,4,,8,,,2,8,7,10,8,7,2,8,6,2,3,,,10,,,2,6,10,,9,7,,3,4,9,7,4,,,7,6,4,,3,2,,,,,,9,,,,,,404,40.4,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,0.2,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
Lintonia nutans,,,,,6,,,,,,5,,,,,,,,,,1,,,,2,,4,,3,4,4,,,5,3,2,,,4,3,,,,,,,,,,4,,,,1,,,,1,,,,,,,5,,,,,7,2,,,,,,,,,,1,1,1,,,,,,,1,,,,,5,,10,,4,,89,8.9,,,,
Mariscus {cyperus) spp.,,,,,,,,,,2,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,11,1.1,,,,
pennisetum mezianum.,,,,,9,7,,,,,,,,,,1,,,,,,,,,,,4,3,,4,3,,,3,5,,1,,,,,,5,2,4,,,,,8,,,,5,,,1,,,,,3,,8,,8,,,,5,4,,,,2,,,,,6,7,,,,,,,,,,,,,,,7,,,,,115,11.5,,,,
pennisetum stramineum.,4,,10,3,,4,7,2,6,,1,,,,,10,9,10,6,5,7,1,9,4,,7,,,,,,10,1,,2,5,10,7,10,,,6,6,3,,9,7,6,6,3,7,10,10,,9,9,3,7,3,5,9,,7,4,7,5,2,10,10,,1,2,10,8,,10,6,4,5,,9,2,4,7,5,10,9,3,10,10,10,10,10,10,,5,,10,10,7,500,50,,,,
