,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,,,4,,6,2,,,,,4,,,,,,,,4,,,,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,35,3.5,,,,
Brachiaria lachnantha,6,,,,3,10,,,2,10,,10,10,2,10,,,,5,3,7,,,,5,1,2,7,10,,5,5,,10,6,4,,2,4,,6,6,8,,,3,,,,4,,,2,,,,6,,3,4,7,1,1,2,,10,10,,,,,,,,3,2,5,3,5,2,5,7,,,6,10,5,3,,,6,,3,8,8,5,,,4,,302,30.2,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
Eragrostis sp.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1,,,,
Lintonia nutans,2,4,2,,3,,6,,,,6,,,,,,2,,,,,,2,,,,,,,,,3,2,,,,,,,,,3,,,,,7,,,,,1,5,7,8,,2,,,,,,2,,,,,,,2,,,,3,2,,3,,,,,2,2,5,,,2,,,,3,7,,,3,2,,,,,103,10.3,,,,
Mariscus {cyperus) spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,0.4,,,,
pennisetum mezianum.,,2,6,,,,,,,,,,2,10,,,,,,,,,,,,,,5,,,6,7,5,,,,,,,,,4,,,,,2,,,,,2,6,,,,,,,1,,,7,7,,,,,,,,,,1,4,3,,,,6,,,,,,,10,,,,,,1,1,1,,,,,,99,9.9,,,,
pennisetum stramineum.,2,6,,8,5,4,9,10,9,1,4,6,,,3,10,7,10,,10,3,10,10,7,8,10,9,,3,10,5,,4,6,2,9,10,8,8,,,,7,9,9,10,,10,10,7,9,8,1,1,7,9,2,2,,8,7,6,,1,1,5,,10,5,6,10,10,1,5,,,,5,10,,10,1,4,9,,,,9,9,9,6,,,4,,4,6,,,7,495,49.5,,,,
