,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
Brachiaria lachnantha,10,,2,,1,3,,,5,10,,,,,10,10,2,8,,,,10,3,,5,6,,,2,5,,6,6,,,,8,2,5,,,3,,4,,5,,,3,,10,4,1,4,,,5,8,1,,,4,7,6,8,7,,,2,3,,,,,,,4,5,10,,,4,,,9,,5,,10,,5,2,10,10,2,8,,2,3,10,303,30.3,,,,
Dinebra retroflexa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.4,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
Lintonia nutans,,,1,,1,5,2,,,,2,,,,,,,,2,,2,,,,,3,,,,,2,,,,,7,,,,,,2,,,7,4,2,5,2,1,,,4,2,,,1,,,4,,,,2,,,,,,1,1,,,,1,2,,,,1,,,,2,,7,,5,1,,,,5,,,,1,,,,90,9,,,,
Mariscus {cyperus) spp.,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7,0.7,,,,
pennisetum mezianum.,2,,6,5,4,9,5,,,,,,,,,,,3,4,5,,,,,4,,,,9,,,3,2,,,8,2,,,,10,3,,,2,,10,,,5,,8,1,,5,2,1,1,,1,9,,,,,,,,,,1,,,,,,2,,,3,2,,3,,2,1,,,,,2,,1,,,,,1,,3,150,15,,,,
pennisetum stramineum.,,,,6,,,4,8,,,10,10,10,10,,,3,,7,6,10,4,,5,2,6,8,9,,6,1,,,8,10,,,6,10,9,4,,2,10,,,,,4,,,,8,7,,4,,3,,,,,2,,,4,10,10,3,2,4,7,9,8,8,5,,,,,,9,10,,2,,5,,,3,5,7,,,3,,5,9,10,,350,35,,,,
