,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.3,,,,
Brachiaria lachnantha,3,,5,3,10,5,,10,,8,10,2,5,10,6,5,5,10,,10,,7,5,,,,7,8,1,2,6,,6,7,,,,,2,,,,7,10,,4,7,4,,9,,8,10,2,8,8,10,9,,,,,4,,,,7,5,3,7,10,10,5,,5,8,,5,6,,3,3,10,9,6,6,,,,,,3,6,4,10,2,10,10,4,7,422,42.2,,,,
Dinebra retroflexa,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2,,,,
Lintonia nutans,1,,,,,,,,,2,,2,3,,,,,,2,,,1,5,,4,4,2,,3,7,,,,2,,8,,,,6,5,2,,2,3,2,1,,1,,9,,,,2,,1,,3,1,5,,,,3,8,,,5,,,,1,,1,,,3,,,,2,,,2,,,6,1,,,,,,,3,,,7,3,134,13.4,,,,
Mariscus {cyperus) spp.,4,,,,,,,,3,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,21,2.1,,,,
pennisetum mezianum.,,7,,,,7,3,,2,1,6,,,,,,6,2,1,,5,,,,,,,3,,,,,8,2,,,,10,5,4,3,7,7,,,,,7,9,2,,2,,,,,,2,2,5,,6,7,5,10,,,,7,,,7,2,4,,,10,3,7,,,2,3,,4,,,,3,10,5,,,,,5,,,,4,222,22.2,,,,
pennisetum stramineum.,4,,6,8,,,7,2,,,,6,2,,10,2,4,,7,,,,7,5,10,3,,2,6,,3,,,,7,4,10,9,,,,,,,9,1,2,,,,,,,9,,,,,7,,,7,,,,,3,1,,,,,3,10,7,,,,2,4,10,7,,,,5,7,9,,2,6,6,7,3,,,2,,,6,259,25.9,,,,
