,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,,,,% cover,Rel. cover,
Trap station,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,A,B,C,D,E,F,G,H,I,J,J,I,H,G,F,E,D,C,B,A,,Hits/100 pins,,plants,plants,
Pin frame data cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total hits,% cover,Rel. cov.,only,only,p*ln(p)
Bothriochloa insculpta,,,,,,,2,,,,,,,,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,6,,,,,2,,,,,,,,,,3,,,,,,,,,1,,,,,,5,7,,,,,40,4,,,,
Brachiaria lachnantha,10,10,4,8,,3,9,,,,,,,2,5,4,5,10,6,10,3,,7,,3,8,10,,10,10,,10,7,,8,,,8,10,,,,,,7,2,,,8,,,2,6,5,8,,,9,8,2,4,9,,,7,6,5,4,9,10,8,9,,3,3,3,6,10,,10,8,9,,8,,3,,8,10,8,,10,10,10,6,,,,8,,441,44.1,,,,
Dinebra retroflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
Eragrostis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
Lintonia nutans,,,1,,,,1,,5,5,7,4,3,5,1,5,,,,,,,,5,,,3,,,1,,2,,7,,5,,3,,,,6,4,,,4,3,1,,,,6,5,2,,,8,4,,10,,,6,,,,1,4,,,,,10,4,8,7,3,,2,,,,7,5,,7,7,,,,4,,,,,2,8,,,,201,20.1,,,,
Mariscus {cyperus) spp.,,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.4,,,,
pennisetum mezianum.,,,4,2,1,,,,,,,6,4,5,3,,,4,,2,1,,2,,7,,2,,,,,,7,,3,8,2,4,,,,,,2,,,,,,,3,,,3,,,5,,,,3,3,6,4,,3,,,,,,1,,,,,2,,,,,,,,6,,,1,,,,,,,4,,2,2,2,,119,11.9,,,,
pennisetum stramineum.,,,,5,10,10,,6,7,5,6,,,,7,8,,,7,,3,10,,6,2,3,,9,3,,10,3,,6,,,10,,2,8,10,8,9,7,,2,4,9,3,7,8,,,,3,10,,,8,2,,7,1,10,3,1,,,,,,,2,7,,,,4,,,,,,,,,4,,,3,,,2,2,,,,7,,10,299,29.9,,,,
