"trap.station","trap.station_2","pin.frame.data.cover","Species","Sp_Pin_Hits","Treatment","Block","Date"
"1","A","","bothriochloa.insculpta",NA,"C","N","20060301"
"1","A","","brachiaria.lachnantha",NA,"C","N","20060301"
"1","A","","dinebra.retroflexa",NA,"C","N","20060301"
"1","A","","eragrostis.sp.",NA,"C","N","20060301"
"1","A","","lintonia.nutans",NA,"C","N","20060301"
"1","A","","mariscus..cyperus..spp.",NA,"C","N","20060301"
"1","A","","pennisetum.mezianum.",NA,"C","N","20060301"
"1","A","","pennisetum.stramineum.",NA,"C","N","20060301"
"1","A","","sporobolus..panicum.atro...",NA,"C","N","20060301"
"1","A","","themeda.triandra",NA,"C","N","20060301"
"1","A","","a..tragus.berteronianus.",NA,"C","N","20060301"
"1","A","","f.digitaria.milanjiana.",NA,"C","N","20060301"
"1","A","","g.brachiaria.eruciformis.",NA,"C","N","20060301"
"1","A","","aerva.lanata.",NA,"C","N","20060301"
"1","A","","aspilia.pluriseta",NA,"C","N","20060301"
"1","A","","commelina.spp.",NA,"C","N","20060301"
"1","A","","conyza",NA,"C","N","20060301"
"1","A","","dyschoriste.radicans",NA,"C","N","20060301"
"1","A","","pseudognaphalium..h.glum..",NA,"C","N","20060301"
"1","A","","hibiscus.flavifolius..apon...",NA,"C","N","20060301"
"1","A","","indigofera.schimperi.",NA,"C","N","20060301"
"1","A","","indigofera.brevicalyx.",NA,"C","N","20060301"
"1","A","","leucas.sp.",NA,"C","N","20060301"
"1","A","","lily",NA,"C","N","20060301"
"1","A","","misopates.orontium.",NA,"C","N","20060301"
"1","A","","monechma.debile",NA,"C","N","20060301"
"1","A","","monsonia.angustifolia.",NA,"C","N","20060301"
"1","A","","oxygonum.sinuatum.",NA,"C","N","20060301"
"1","A","","pavonia.patens.",NA,"C","N","20060301"
"1","A","","pelargonium..m.q.",NA,"C","N","20060301"
"1","A","","phyllanthus.mader..",NA,"C","N","20060301"
"1","A","","polygala.sphenoptera",NA,"C","N","20060301"
"1","A","","ipomoea.sinensis",NA,"C","N","20060301"
"1","A","","portulaca.quadrifida",NA,"C","N","20060301"
"1","A","","portulaca.oleracea",NA,"C","N","20060301"
"1","A","","rhinacanthus.ndorensis",NA,"C","N","20060301"
"1","A","","rhynchosia.sp.",NA,"C","N","20060301"
"1","A","","solanum.incanum..big.",NA,"C","N","20060301"
"1","A","","solanum.indicum..small.",NA,"C","N","20060301"
"1","A","","b..cochorus.",NA,"C","N","20060301"
"1","A","","c..psilotrichum.shimperi.",NA,"C","N","20060301"
"1","A","","d..chonopodium.schrad...",NA,"C","N","20060301"
"1","A","","e..mollugo.nudicaulis..",NA,"C","N","20060301"
"1","A","","h..evovulus.alsinoides.",NA,"C","N","20060301"
"1","A","","j..acalypha.crenata.",NA,"C","N","20060301"
"1","A","","k",NA,"C","N","20060301"
"1","A","","l..polygala.",NA,"C","N","20060301"
"1","A","","n..euphorbia.inaequilatera..",NA,"C","N","20060301"
"1","A","","r.chenopodium.",NA,"C","N","20060301"
"1","A","","cactus..caralluma.",NA,"C","N","20060301"
"1","A","","acacia.drepanolobium",NA,"C","N","20060301"
"1","A","","bares",NA,"C","N","20060301"
"1","A","","commicarpus.pedunculosus",NA,"C","N","20060301"
"1","A","","cyathula",NA,"C","N","20060301"
"1","A","","hibiscus.trionium..2.",NA,"C","N","20060301"
"1","A","","microchloa.kunthii.",NA,"C","N","20060301"
"1","A","","plectranthus",NA,"C","N","20060301"
"1","A","","s.melhania.",NA,"C","N","20060301"
"1","A","","gutenbergia",NA,"C","N","20060301"
"1","A","","setaria.acromelaena..small.",NA,"C","N","20060301"
"1","A","","setaria.sphaecealata..big.",NA,"C","N","20060301"
"1","A","","sida",NA,"C","N","20060301"
"1","A","","sporobolus.pyramidalis.",NA,"C","N","20060301"
"1","A","","tribulus.terrestris",NA,"C","N","20060301"
"1","A","","t.amaranthus.hibridus.",NA,"C","N","20060301"
"1","A","","o.osteospermum.",NA,"C","N","20060301"
"1","A","","v",NA,"C","N","20060301"
"1","A","","w",NA,"C","N","20060301"
"1","A","","x.schkuhria.pinnata",NA,"C","N","20060301"
"1","A","","aristida..",NA,"C","N","20060301"
"1","A","","pollichia.campestris",NA,"C","N","20060301"
"1","A","","cynodon.plectostachyus",NA,"C","N","20060301"
"1","A","","others",NA,"C","N","20060301"
"1","A","","acacia.drepanolobium_2",NA,"C","N","20060301"
"1","A","","ht.cm.",NA,"C","N","20060301"
"1","A","","ht.cm._2",NA,"C","N","20060301"
"1","A","","x",NA,"C","N","20060301"
"1","A","","hibiscus.",NA,"C","N","20060301"
"1","A","","ht.cm._3",NA,"C","N","20060301"
"1","A","","ht.cm._4",NA,"C","N","20060301"
"1","A","","ht.cm._5",NA,"C","N","20060301"
"1","A","","ht.cm._6",NA,"C","N","20060301"
"1","A","","ht.cm._7",NA,"C","N","20060301"
"1","A","","bares_2",NA,"C","N","20060301"
"1","B","","bothriochloa.insculpta",NA,"C","N","20060301"
"1","B","","brachiaria.lachnantha",NA,"C","N","20060301"
"1","B","","dinebra.retroflexa",NA,"C","N","20060301"
"1","B","","eragrostis.sp.",NA,"C","N","20060301"
"1","B","","lintonia.nutans",NA,"C","N","20060301"
"1","B","","mariscus..cyperus..spp.",NA,"C","N","20060301"
"1","B","","pennisetum.mezianum.",NA,"C","N","20060301"
"1","B","","pennisetum.stramineum.",NA,"C","N","20060301"
"1","B","","sporobolus..panicum.atro...",NA,"C","N","20060301"
"1","B","","themeda.triandra",NA,"C","N","20060301"
"1","B","","a..tragus.berteronianus.",NA,"C","N","20060301"
"1","B","","f.digitaria.milanjiana.",NA,"C","N","20060301"
"1","B","","g.brachiaria.eruciformis.",NA,"C","N","20060301"
"1","B","","aerva.lanata.",NA,"C","N","20060301"
"1","B","","aspilia.pluriseta",NA,"C","N","20060301"
"1","B","","commelina.spp.",NA,"C","N","20060301"
"1","B","","conyza",NA,"C","N","20060301"
"1","B","","dyschoriste.radicans",NA,"C","N","20060301"
"1","B","","pseudognaphalium..h.glum..",NA,"C","N","20060301"
"1","B","","hibiscus.flavifolius..apon...",NA,"C","N","20060301"
"1","B","","indigofera.schimperi.",NA,"C","N","20060301"
"1","B","","indigofera.brevicalyx.",NA,"C","N","20060301"
"1","B","","leucas.sp.",NA,"C","N","20060301"
"1","B","","lily",NA,"C","N","20060301"
"1","B","","misopates.orontium.",NA,"C","N","20060301"
"1","B","","monechma.debile",NA,"C","N","20060301"
"1","B","","monsonia.angustifolia.",NA,"C","N","20060301"
"1","B","","oxygonum.sinuatum.",NA,"C","N","20060301"
"1","B","","pavonia.patens.",NA,"C","N","20060301"
"1","B","","pelargonium..m.q.",NA,"C","N","20060301"
"1","B","","phyllanthus.mader..",NA,"C","N","20060301"
"1","B","","polygala.sphenoptera",NA,"C","N","20060301"
"1","B","","ipomoea.sinensis",NA,"C","N","20060301"
"1","B","","portulaca.quadrifida",NA,"C","N","20060301"
"1","B","","portulaca.oleracea",NA,"C","N","20060301"
"1","B","","rhinacanthus.ndorensis",NA,"C","N","20060301"
"1","B","","rhynchosia.sp.",NA,"C","N","20060301"
"1","B","","solanum.incanum..big.",NA,"C","N","20060301"
"1","B","","solanum.indicum..small.",NA,"C","N","20060301"
"1","B","","b..cochorus.",NA,"C","N","20060301"
"1","B","","c..psilotrichum.shimperi.",NA,"C","N","20060301"
"1","B","","d..chonopodium.schrad...",NA,"C","N","20060301"
"1","B","","e..mollugo.nudicaulis..",NA,"C","N","20060301"
"1","B","","h..evovulus.alsinoides.",NA,"C","N","20060301"
"1","B","","j..acalypha.crenata.",NA,"C","N","20060301"
"1","B","","k",NA,"C","N","20060301"
"1","B","","l..polygala.",NA,"C","N","20060301"
"1","B","","n..euphorbia.inaequilatera..",NA,"C","N","20060301"
"1","B","","r.chenopodium.",NA,"C","N","20060301"
"1","B","","cactus..caralluma.",NA,"C","N","20060301"
"1","B","","acacia.drepanolobium",NA,"C","N","20060301"
"1","B","","bares",NA,"C","N","20060301"
"1","B","","commicarpus.pedunculosus",NA,"C","N","20060301"
"1","B","","cyathula",NA,"C","N","20060301"
"1","B","","hibiscus.trionium..2.",NA,"C","N","20060301"
"1","B","","microchloa.kunthii.",NA,"C","N","20060301"
