"trap.station","type.of.hits","hit_type_plant","Species","Sp_Pin_Hits","Treatment","Block","Date"
"1A","1st","","bracharia.lacnantha",NA,"C","N","20070101"
"1A","1st","","lintonia.nutans",NA,"C","N","20070101"
"1A","1st","","pennisetum.mez.",NA,"C","N","20070101"
"1A","1st","","pennisetum.stram.",NA,"C","N","20070101"
"1A","1st","","themeda.triandra",NA,"C","N","20070101"
"1A","1st","","bare",NA,"C","N","20070101"
"1A","1st","","x_2",NA,"C","N","20070101"
"1A","1st","","aristida.kenyensis",NA,"C","N","20070101"
"1A","1st","","bothriochloa",NA,"C","N","20070101"
"1A","1st","","bracharia.3",NA,"C","N","20070101"
"1A","1st","","bracharia.eruciformis",NA,"C","N","20070101"
"1A","1st","","cynodon.dactylon",NA,"C","N","20070101"
"1A","1st","","cynodon.plecto.",NA,"C","N","20070101"
"1A","1st","","cyperus..mariscus.",NA,"C","N","20070101"
"1A","1st","","digitaria.2",NA,"C","N","20070101"
"1A","1st","","digitaria.milanjiana",NA,"C","N","20070101"
"1A","1st","","dinebra.retroflexa",NA,"C","N","20070101"
"1A","1st","","eragrostis",NA,"C","N","20070101"
"1A","1st","","setaria.acro...small.",NA,"C","N","20070101"
"1A","1st","","setaria.sphaec...big.",NA,"C","N","20070101"
"1A","1st","","microchloa.kunthii",NA,"C","N","20070101"
"1A","1st","","sporobolus",NA,"C","N","20070101"
"1A","1st","","tragus.berteronianus",NA,"C","N","20070101"
"1A","1st","","x_3",NA,"C","N","20070101"
"1A","1st","","acalypha.crenata",NA,"C","N","20070101"
"1A","1st","","aerva.lanata",NA,"C","N","20070101"
"1A","1st","","amaranthus.hibridus",NA,"C","N","20070101"
"1A","1st","","aspilia.pluriseta",NA,"C","N","20070101"
"1A","1st","","caralluma",NA,"C","N","20070101"
"1A","1st","","chenopodium.schrad.",NA,"C","N","20070101"
"1A","1st","","corchorus",NA,"C","N","20070101"
"1A","1st","","commelina",NA,"C","N","20070101"
"1A","1st","","commicarpus.pedunc.",NA,"C","N","20070101"
"1A","1st","","conyza",NA,"C","N","20070101"
"1A","1st","","cyathula",NA,"C","N","20070101"
"1A","1st","","dyscoriste.radicans",NA,"C","N","20070101"
"1A","1st","","euphorbia.inaequ.",NA,"C","N","20070101"
"1A","1st","","evolvulus.alsinoides",NA,"C","N","20070101"
"1A","1st","","gutenbergia",NA,"C","N","20070101"
"1A","1st","","hibiscus.flavifolius",NA,"C","N","20070101"
"1A","1st","","hibiscus.trionum",NA,"C","N","20070101"
"1A","1st","","indigofera.brevicalyx",NA,"C","N","20070101"
"1A","1st","","indigofera.schimperi",NA,"C","N","20070101"
"1A","1st","","ipomea.sinensis",NA,"C","N","20070101"
"1A","1st","","k",NA,"C","N","20070101"
"1A","1st","","kyllinger",NA,"C","N","20070101"
"1A","1st","","leucus",NA,"C","N","20070101"
"1A","1st","","lily",NA,"C","N","20070101"
"1A","1st","","melhania.",NA,"C","N","20070101"
"1A","1st","","misopates.orontium",NA,"C","N","20070101"
"1A","1st","","monechima.debile",NA,"C","N","20070101"
"1A","1st","","monsonia.augustifolia",NA,"C","N","20070101"
"1A","1st","","mullugo.nudicaulis",NA,"C","N","20070101"
"1A","1st","","osteospermum",NA,"C","N","20070101"
"1A","1st","","oxygonum.sinuatum",NA,"C","N","20070101"
"1A","1st","","pavonia.patens",NA,"C","N","20070101"
"1A","1st","","pelargonium",NA,"C","N","20070101"
"1A","1st","","phyllanthus.mader.",NA,"C","N","20070101"
"1A","1st","","plectranthus",NA,"C","N","20070101"
"1A","1st","","pollichia.campestris",NA,"C","N","20070101"
"1A","1st","","polygala..l.",NA,"C","N","20070101"
"1A","1st","","polygala.sphenoptera",NA,"C","N","20070101"
"1A","1st","","portulaca.oleracea",NA,"C","N","20070101"
"1A","1st","","portulaca.quadrifida",NA,"C","N","20070101"
"1A","1st","","pseudognaphalium",NA,"C","N","20070101"
"1A","1st","","psilotrichum.schimperi",NA,"C","N","20070101"
"1A","1st","","rhinacanthus.ndor.",NA,"C","N","20070101"
"1A","1st","","rhynchosia",NA,"C","N","20070101"
"1A","1st","","schkuhria.pinnata",NA,"C","N","20070101"
"1A","1st","","sida",NA,"C","N","20070101"
