"trap.station","type.of.hits","hit_type_plant","Species","Sp_Pin_Hits","Treatment","Block","Date"
"1A","1st","","bracharia.lacnantha",NA,"C","S","20090130"
"1A","1st","","lintonia.nutans",NA,"C","S","20090130"
"1A","1st","","pennisetum.mezianum",NA,"C","S","20090130"
"1A","1st","","pennisetum.straminium",NA,"C","S","20090130"
"1A","1st","","themeda.triandra",NA,"C","S","20090130"
"1A","1st","","bare",NA,"C","S","20090130"
"1A","1st","","x_2",NA,"C","S","20090130"
"1A","1st","","aristida.kenyensis",NA,"C","S","20090130"
"1A","1st","","bothriochloa.insculpta",NA,"C","S","20090130"
"1A","1st","","bracharia.3",NA,"C","S","20090130"
"1A","1st","","bracharia.eruciformis",NA,"C","S","20090130"
"1A","1st","","chloris.sp",NA,"C","S","20090130"
"1A","1st","","cynodon.dactylon",NA,"C","S","20090130"
"1A","1st","","cynodon.plectostachyus",NA,"C","S","20090130"
"1A","1st","","cyperus...mariscus.spp",NA,"C","S","20090130"
"1A","1st","","digitaria.2",NA,"C","S","20090130"
"1A","1st","","digitaria.milanjiana",NA,"C","S","20090130"
"1A","1st","","dinebra.retroflexa",NA,"C","S","20090130"
"1A","1st","","eragrostis.tenuifolia",NA,"C","S","20090130"
"1A","1st","","harpachne.schimperi",NA,"C","S","20090130"
"1A","1st","","microchloa.kunthii",NA,"C","S","20090130"
"1A","1st","","panicum.astrosanguinum",NA,"C","S","20090130"
"1A","1st","","setaria.acromelaena..small.",NA,"C","S","20090130"
"1A","1st","","setaria.sphaecealata..big.",NA,"C","S","20090130"
"1A","1st","","sporobolus.pyramidalis",NA,"C","S","20090130"
"1A","1st","","tragus.berteronianus",NA,"C","S","20090130"
"1A","1st","","x_3",NA,"C","S","20090130"
"1A","1st","","acalypha.crenata",NA,"C","S","20090130"
"1A","1st","","aerva.lanata",NA,"C","S","20090130"
"1A","1st","","amaranthus.hibridus",NA,"C","S","20090130"
"1A","1st","","aspilia.pluriseta",NA,"C","S","20090130"
"1A","1st","","asterolinon.adoense..v.",NA,"C","S","20090130"
"1A","1st","","caralluma.acutangula",NA,"C","S","20090130"
"1A","1st","","chenopodium.opulifolium",NA,"C","S","20090130"
"1A","1st","","chenopodium.schraderianum",NA,"C","S","20090130"
"1A","1st","","commelina.spp",NA,"C","S","20090130"
"1A","1st","","commicarpus.pedunculosus",NA,"C","S","20090130"
"1A","1st","","conyza.sp",NA,"C","S","20090130"
"1A","1st","","corchorus.sp",NA,"C","S","20090130"
"1A","1st","","crotelaria.sp",NA,"C","S","20090130"
"1A","1st","","cyathula.orthacantha",NA,"C","S","20090130"
"1A","1st","","dyscoriste.radicans",NA,"C","S","20090130"
"1A","1st","","euphorbia.inaequilatera",NA,"C","S","20090130"
"1A","1st","","evolvulus.alsinoides",NA,"C","S","20090130"
"1A","1st","","fern",NA,"C","S","20090130"
"1A","1st","","gutenbergia.sp",NA,"C","S","20090130"
"1A","1st","","hermannia.uhligii",NA,"C","S","20090130"
"1A","1st","","hibiscus.flavifolius",NA,"C","S","20090130"
"1A","1st","","hibiscus.trionum",NA,"C","S","20090130"
"1A","1st","","indigofera.brevicalyx",NA,"C","S","20090130"
"1A","1st","","indigofera.schimperi",NA,"C","S","20090130"
"1A","1st","","ipomea.sinensis",NA,"C","S","20090130"
