Pin Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEE vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plot:,S-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: ,1/23/2010,(DATE MUST BE ENTERED IN: MONTH/DAY/YEAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1A,1C,1E,1G,1I,2J,,,2H,,,2F,,,2D,,,2B,,,3A,3C,3E,3G,3I,4J,4H,4F,4D,4B,5A,5C,5E,5G,5I,6J,,,6H,,,6F,,,6D,,,6B,,,7A,7C,7E,7G,7I,8J,8H,8F,8D,8B,9A,9C,9E,9G,9I,10J,10H,10F,10D,10B
Mound?,y,,,,,,,,,,,,,,,,,,,,,,,y,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,
Disturbance?,y,y,y,y,y,y,,,y,,,y,,,y,,,y,,,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,,,y,,,y,,,y,,,y,,,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of hits,1st,1st,1st,1st,1st,1st,All,,1st,All,,1st,All,,1st,All,,1st,All,,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,All,,1st,All,,1st,All,,1st,All,,1st,All,,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st
,,,,,,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,,,,,,,,,,,,,,,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,,,,,,,,,,,,,,,,,,,
Bracharia lacnantha,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,3,,6,10,1,,,,,,1,2,4,,4,,,,,,,,,,
Lintonia nutans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennisetum mezianum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennisetum straminium,,,,,,,,,2,7,1,,,,,,,1,,1,,,,,,3,8,,7,,,,,,,,,,10,18,38,3,3,4,4,4,8,3,2,2,,,,,,7,1,3,,5,,,,,,,,,,
Themeda triandra,,,,,,2,6,,2,3,,,,,,,,,,,,,,,,,,2,,5,,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
