Pin Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEE vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plot:,S-MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: ,6/24/2014,(DATE MUST BE ENTERED IN: MONTH/DAY/YEAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1A,1C,1E,1G,1I,2J,,,2H,,,2F,,,2D,,,2B,,,3A,3C,3E,3G,3I,4J,4H,4F,4D,4B,5A,5C,5E,5G,5I,6J,,,6H,,,6F,,,6D,,,6B,,,7A,7C,7E,7G,7I,8J,8H,8F,8D,8B,9A,9C,9E,9G,9I,10J,10H,10F,10D,10B
Mound?,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,Y,,,
Disturbance?,N,N,N,N,N,Y,,,N,,,Y,,,Y,,,Y,,,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,N,Y,N,N,N,,,Y,,,Y,,,Y,,,Y,,,N,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of hits,1st,1st,1st,1st,1st,1st,All,,1st,All,,1st,All,,1st,All,,1st,All,,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,All,,1st,All,,1st,All,,1st,All,,1st,All,,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st
,,,,,,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,,,,,,,,,,,,,,,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,,,,,,,,,,,,,,,,,,,
Bracharia lacnantha,,,,,,4,11,1,6,5,2,,7,16,3,12,5,3,5,,,,,,,,6,8,10,8,,,,,,8,26,4,,,,5,11,1,3,5,,,,,,,,,,2,9,8,5,5,,,,,,,,,,
Lintonia nutans,,,,,,,,,,,,1,,1,,,,2,3,,,,,,,,,,,,,,,,,,,,2,4,2,2,2,1,,,,,,,,,,,,3,,,,,,,,,,,,,,
Pennisetum mezianum,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,1,,,2,3,,,,,,,,,,
Pennisetum straminium,,,,,,,,,5,8,6,,,,6,5,3,,,,,,,,,10,3,,4,,,,,,,,,,7,9,19,,,,2,3,1,6,8,5,,,,,,,3,,5,,,,,,,,,,,
