BLOCK,TREATMENT,SPECIES,1999_06,1999_09,2000_02,2000_06,2001_01,2001_06,2002_02,2002_06,2003_02,2003_06,2004_02,2004_06,2005_02,2005_06,2006_03,2006_06,2007_02,2007_06,2008_02,2008_06,2009_02,2009_06,2010_01,2010_06,2011_06,2012_06,2013_06,2014_06,2015_06,2016_06,2017_06,2018_06,2019_06,2020_06
CENTRAL,C,Acalypha_crenata,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0
NORTH,C,Acalypha_crenata,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,6,14,0,0,0,0,0,2,0,0,4,0
SOUTH,C,Acalypha_crenata,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,6,0,0,0,0,0
CENTRAL,MW,Acalypha_crenata,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0
NORTH,MW,Acalypha_crenata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0
SOUTH,MW,Acalypha_crenata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,0,0,0,2,0,0,2,0,0
CENTRAL,MWC,Acalypha_crenata,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,2,0,0,0,0,0
NORTH,MWC,Acalypha_crenata,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,0,0,4,0,0,4,14,10,0,0,0,6,2,0,6,0,0
SOUTH,MWC,Acalypha_crenata,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,6,0,0,0,0,10,0,0,2,0,0
CENTRAL,O,Acalypha_crenata,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,2,6,0,0,4,0,2,0,0,0,0,0
NORTH,O,Acalypha_crenata,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SOUTH,O,Acalypha_crenata,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,W,Acalypha_crenata,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,2,0,0,0,0,2
NORTH,W,Acalypha_crenata,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,8,2,0,0,0,2,0,0,2,0,0
SOUTH,W,Acalypha_crenata,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,8,0,2,4,0,0
CENTRAL,WC,Acalypha_crenata,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,24,0,0,0,0,0,14,0,2,2,0,0
NORTH,WC,Acalypha_crenata,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0
SOUTH,WC,Acalypha_crenata,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,10,0,0,4,0,0
CENTRAL,C,Aerva_lanata,12,12,5,5,0,4,4,3,0,0,3,5,4,3,0,2,2,6,8,2,10,0,32,10,8,2,4,2,12,6,0,8,6,8
NORTH,C,Aerva_lanata,12,12,10,9,2,3,7,10,7,7,5,5,1,2,2,4,6,2,8,2,2,2,4,4,6,12,4,8,10,24,8,10,2,4
SOUTH,C,Aerva_lanata,2,2,2,5,0,1,3,3,1,1,0,1,2,2,4,0,2,0,0,0,0,0,2,0,0,6,8,6,6,6,0,6,4,12
CENTRAL,MW,Aerva_lanata,2,2,11,3,3,8,11,3,3,3,1,5,1,5,8,0,8,2,2,2,6,0,2,20,6,6,0,4,8,0,0,4,0,2
NORTH,MW,Aerva_lanata,6,6,4,4,2,9,16,4,10,10,7,8,4,3,2,0,4,18,2,2,20,6,0,10,10,0,0,4,10,4,0,0,4,10
SOUTH,MW,Aerva_lanata,5,5,9,6,6,4,4,4,11,11,6,3,4,3,6,0,4,12,4,2,6,0,2,8,2,8,20,28,6,2,4,12,0,6
CENTRAL,MWC,Aerva_lanata,5,5,5,1,0,6,8,0,1,1,2,1,3,2,4,2,2,0,0,0,0,0,6,0,6,8,2,0,4,2,0,0,6,4
NORTH,MWC,Aerva_lanata,4,4,5,5,0,3,7,9,12,12,4,4,6,3,0,4,0,2,2,6,14,0,2,6,16,6,0,6,4,10,0,0,0,2
SOUTH,MWC,Aerva_lanata,8,8,10,2,1,5,8,1,0,0,3,5,4,0,0,0,0,2,0,0,2,2,0,0,0,2,4,4,0,2,0,2,2,2
CENTRAL,O,Aerva_lanata,15,15,26,5,13,7,3,4,8,8,5,3,6,4,8,6,18,14,8,10,14,4,4,8,6,12,0,18,42,12,8,2,12,4
NORTH,O,Aerva_lanata,14,14,8,7,8,5,13,1,12,12,22,9,5,26,0,2,10,6,10,0,22,6,6,0,6,12,12,6,18,26,4,6,2,2
SOUTH,O,Aerva_lanata,9,9,16,6,4,5,12,6,6,6,11,11,11,6,6,10,16,4,8,10,6,2,2,10,2,6,12,10,20,12,12,14,0,2
CENTRAL,W,Aerva_lanata,30,30,13,6,7,11,11,15,11,11,11,10,4,6,0,4,14,8,10,2,2,2,0,14,8,16,16,10,6,4,2,14,6,4
NORTH,W,Aerva_lanata,4,4,6,2,5,12,7,11,11,11,10,3,4,7,4,4,2,4,2,10,4,6,2,20,12,8,6,12,10,10,8,8,2,14
SOUTH,W,Aerva_lanata,24,24,8,1,1,8,12,6,6,6,3,3,1,2,0,4,16,18,8,2,14,4,0,8,2,4,14,0,0,2,2,4,4,2
CENTRAL,WC,Aerva_lanata,10,10,4,4,2,2,6,2,1,1,3,4,2,0,0,0,4,2,0,0,4,0,8,12,4,2,10,16,8,8,0,4,0,2
NORTH,WC,Aerva_lanata,8,8,5,2,1,5,9,1,1,1,3,0,4,0,2,2,0,2,0,0,4,8,4,8,8,4,0,4,0,10,0,4,0,8
SOUTH,WC,Aerva_lanata,3,3,4,1,5,1,10,12,9,9,4,3,1,1,0,2,0,0,8,0,0,4,2,4,0,2,0,4,16,22,4,4,0,12
CENTRAL,C,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,C,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
SOUTH,C,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
CENTRAL,MW,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
