AcCr,AeLa,ArKe,AsPl,BoIn,Br3,BrEr,BrLa,Comm,ConSp,CorSp,CyMaKy,Dig2,DiMi,DiRe,DyRa,EragSp,EuIn,EvAl,GutSp,HibFla,InBr,InSc,IpSi,K,LeSp,LiNu,MeSp,MiKu,MiOr,MoNu,MoDe,MoAu,PaAs,PeMe,PeSt,PhMa,PlSp,PolL,PoSp,PoOl,PoQu,PsGl,PsSc,RhNd,RhHo,SoInc,SoInd,SpPy,ThTr,TrBe
0,0.005995204,0,0.050359712,0,0,0,0.115107914,0.002398082,0,0,0,0,0,0,0.019184652,0,0,0,0,0,0,0.013189448,0,0,0,0.24940048,0,0,0,0,0.013189448,0,0,0.117505995,0.091127098,0.001199041,0,0,0,0,0,0.021582734,0,0,0.007194245,0,0.003597122,0,0.288968825,0
0,0.014067995,0,0.029308324,0,0,0,0.087924971,0.007033998,0.003516999,0,0,0,0,0,0.051582649,0,0,0,0,0,0,0.009378664,0,0,0,0.256740914,0,0,0,0,0.030480657,0,0,0.100820633,0.134818288,0,0,0,0,0,0,0.055099648,0,0,0.001172333,0,0.008206331,0,0.209847597,0
0,0.002141328,0,0.016059957,0,0,0,0.10385439,0,0.003211991,0,0,0,0,0,0.006423983,0.004282655,0,0,0,0,0,0.012847966,0,0,0,0.183083512,0,0,0,0,0.026766595,0,0,0.17987152,0.147751606,0.004282655,0.002141328,0,0,0,0.001070664,0.00856531,0,0,0.017130621,0,0.001070664,0,0.279443255,0
0,0.015228426,0,0.030456853,0,0,0,0.063959391,0.004060914,0.008121827,0,0,0,0,0,0.011167513,0,0,0,0,0,0,0.022335025,0,0,0,0.220304569,0,0,0,0,0.033502538,0,0,0.074111675,0.181725888,0,0,0,0,0,0,0.029441624,0,0,0.011167513,0,0.008121827,0,0.286294416,0
0,0.029097963,0,0.029097963,0,0,0,0.069835112,0.000969932,0.003879728,0,0,0,0,0,0.032977692,0,0,0,0,0,0,0.007759457,0,0,0,0.198836081,0,0,0.000969932,0,0.059165858,0,0,0.11057226,0.180407371,0,0,0,0,0,0,0.025218235,0,0,0.012609117,0,0.004849661,0,0.233753637,0
0,0.011990408,0,0.038369305,0,0,0,0.053956835,0.005995204,0,0,0,0,0,0,0.011990408,0,0,0,0,0.002398082,0,0,0,0,0,0.167865707,0,0,0,0,0.063549161,0,0,0.098321343,0.208633094,0,0,0,0,0,0,0.167865707,0,0,0,0,0.003597122,0,0.164268585,0
0,0.003731343,0,0.026119403,0,0,0,0.078358209,0.002798507,0,0,0,0,0,0,0.008395522,0,0,0,0,0,0,0.01119403,0,0,0,0.253731343,0,0,0,0,0.013059701,0,0,0.233208955,0.10261194,0.002798507,0,0,0,0,0,0.008395522,0,0,0.014925373,0,0.002798507,0,0.237873134,0
0,0.010714286,0,0.033035714,0,0,0,0.052678571,0,0,0,0,0,0,0,0.001785714,0,0,0,0,0,0.004464286,0.007142857,0,0,0,0.197321429,0,0,0,0,0.039285714,0,0,0.152678571,0.18125,0,0,0,0,0,0,0.033928571,0,0,0.008928571,0,0.005357143,0,0.271428571,0
0,0.006423983,0,0.059957173,0,0,0,0.113490364,0,0,0,0,0,0,0,0.020342612,0,0,0,0,0,0,0.024625268,0,0,0,0.201284797,0,0,0,0,0.02248394,0,0,0.190578158,0.147751606,0,0,0,0,0,0,0.014989293,0,0,0.002141328,0.001070664,0.007494647,0,0.187366167,0
0,0.012612613,0,0.071171171,0,0,0,0.063063063,0,0.004504505,0,0,0,0,0,0.000900901,0,0,0,0,0,0,0.007207207,0,0,0,0.2,0,0,0,0,0.024324324,0,0,0.182882883,0.172972973,0.000900901,0,0,0,0,0,0.036036036,0,0,0.016216216,0,0.003603604,0,0.203603604,0
0,0.003902439,0,0.059512195,0,0,0,0.083902439,0.00097561,0.003902439,0,0,0,0,0,0.022439024,0,0,0,0,0,0,0.011707317,0,0,0,0.20097561,0,0,0.005853659,0,0.007804878,0,0,0.104390244,0.168780488,0,0,0,0,0,0,0.027317073,0,0,0.018536585,0,0.002926829,0,0.277073171,0
0,0.009019166,0,0.07102593,0,0,0,0.054114994,0.010146561,0.002254791,0,0,0,0,0,0.00789177,0,0,0,0,0,0,0.012401353,0,0,0,0.113866967,0,0,0,0,0.033821871,0,0,0.156708005,0.169109357,0.002254791,0,0,0,0,0,0.058624577,0,0,0.006764374,0,0.006764374,0,0.285231116,0
0,0.009650181,0,0.036188179,0,0,0,0.109770808,0.00482509,0,0,0,0,0,0,0.02774427,0.00482509,0,0,0,0.002412545,0,0.008443908,0,0,0,0.223160434,0,0,0,0,0.039806996,0,0,0.108564536,0.085645356,0.001206273,0,0,0,0,0,0.041013269,0,0,0,0,0.020506634,0,0.276236429,0
0,0.002145923,0,0.043991416,0,0,0,0.082618026,0.004291845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00751073,0,0,0,0.212446352,0,0,0,0,0.074034335,0,0,0.091201717,0.158798283,0,0,0,0,0,0,0.089055794,0,0,0.003218884,0,0.009656652,0,0.221030043,0
0,0.005302227,0,0.033934252,0,0,0,0.049840933,0.004241782,0,0,0,0,0,0,0.015906681,0,0,0,0,0,0,0.003181336,0,0,0,0.181336161,0,0,0,0,0.02757158,0,0,0.090137858,0.142099682,0,0,0,0,0,0,0.103923648,0,0,0,0,0.020148462,0,0.322375398,0
0,0.010989011,0,0.057387057,0,0,0,0.080586081,0.00976801,0.004884005,0,0,0,0,0,0.007326007,0,0,0,0,0,0,0.006105006,0,0,0,0.235653236,0,0,0,0,0.041514042,0,0,0.139194139,0.11965812,0.001221001,0,0,0,0,0,0.030525031,0,0,0.002442002,0,0.023199023,0,0.22954823,0
0,0.021818182,0,0.042727273,0,0,0,0.064545455,0.012727273,0.000909091,0,0,0,0,0,0.007272727,0,0,0,0,0,0.007272727,0.01,0,0,0,0.167272727,0,0,0.001818182,0,0.036363636,0,0,0.077272727,0.099090909,0,0,0,0,0,0,0.052727273,0,0,0,0,0.005454545,0,0.392727273,0
0,0.003717472,0,0.045848823,0,0,0,0.078066914,0.006195787,0.001239157,0,0,0,0,0,0.014869888,0,0,0,0,0.003717472,0,0,0,0,0,0.224287485,0,0,0,0,0.044609665,0,0,0.076827757,0.11771995,0,0,0,0,0,0,0.057001239,0,0,0,0.004956629,0.016109046,0,0.304832714,0
0,0.006535948,0,0.033986928,0,0,0,0.100653595,0,0.00130719,0,0,0,0,0,0.011764706,0,0,0,0,0,0,0.022222222,0,0,0,0.2,0,0,0,0,0.010457516,0,0,0.17254902,0.117647059,0,0,0,0,0,0,0.014379085,0,0,0.014379085,0,0.002614379,0,0.291503268,0
0,0.006944444,0,0.018055556,0,0,0,0.056944444,0.001388889,0.005555556,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0.005555556,0,0,0,0.301388889,0,0,0,0,0.033333333,0,0,0.115277778,0.073611111,0,0,0,0,0,0,0.063888889,0,0,0,0,0.001388889,0,0.283333333,0
0,0.014102564,0,0.008974359,0,0,0,0.111538462,0,0,0,0,0,0,0,0.003846154,0,0,0,0,0.001282051,0,0.001282051,0,0,0,0.256410256,0,0,0,0,0.012820513,0,0,0.153846154,0.076923077,0,0,0,0,0,0,0.008974359,0,0.002564103,0,0.005128205,0,0,0.342307692,0
0,0.023941068,0,0.018416206,0,0,0,0.093001842,0.00092081,0.005524862,0,0,0,0,0,0.016574586,0,0,0,0,0,0,0.011970534,0,0,0,0.222836096,0,0,0,0,0.025782689,0,0,0.121546961,0.153775322,0,0,0,0,0,0,0.019337017,0,0,0.009208103,0,0.001841621,0,0.275322284,0
0,0.008000127,0,0.054507499,0,0,0,0.090962986,0.002227489,0,0,0,0,0,0,0.020442633,0,0,0,0,0.00330045,0,0.014425296,0,0,0,0.220922614,0,0,0,0,0.018356393,0,0,0.143101747,0.083618705,0.000536481,0,0,0,0,0,0.037004568,0,0,0.003708282,0,0.00330045,0,0.29558428,0
0,0.006722689,0,0.031932773,0,0,0,0.03697479,0.001680672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011764706,0,0,0,0.253781513,0,0,0,0,0.023529412,0,0,0.196638655,0.127731092,0.001680672,0,0,0,0,0,0.144537815,0,0,0,0,0.003361345,0,0.159663866,0
0,0.006925208,0,0.016620499,0,0,0,0.060941828,0.001385042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040166205,0,0,0,0.173130194,0,0,0,0,0.008310249,0,0,0.235457064,0.180055402,0,0,0,0,0,0,0.012465374,0,0,0.011080332,0,0.001385042,0,0.252077562,0
0,0.013020833,0,0.055989583,0,0,0,0.049479167,0,0,0,0,0,0,0,0.001302083,0,0,0,0,0,0,0.013020833,0,0,0,0.153645833,0,0,0,0,0.055989583,0,0,0.231770833,0.165364583,0.001302083,0,0,0.001302083,0,0,0.044270833,0,0,0.005208333,0.001302083,0.010416667,0,0.196614583,0
0,0.004956629,0,0.043370508,0,0,0,0.068153656,0.001239157,0,0,0,0,0,0,0.016109046,0,0,0,0,0,0,0.006195787,0,0,0,0.24039653,0,0,0,0,0.006195787,0,0,0.237918216,0.095415118,0,0,0,0,0.001239157,0,0.012391574,0,0,0.003717472,0,0.002478315,0,0.260223048,0
0,0.007098492,0,0.04880213,0,0,0,0.071872227,0.000887311,0.000887311,0,0,0,0,0,0,0,0,0,0,0,0,0.003549246,0,0,0,0.117125111,0,0,0,0,0.031055901,0,0,0.185448092,0.212954747,0,0,0,0,0,0,0.029281278,0,0,0.010647737,0,0.000887311,0,0.279503106,0
0,0.007416564,0,0.061804697,0,0,0,0.09394314,0.001236094,0,0,0,0,0,0,0.033374536,0,0,0,0,0.001236094,0,0.023485785,0,0,0,0.242274413,0,0,0,0,0.009888752,0,0,0.176761434,0.039555006,0,0,0,0,0,0,0.016069221,0,0,0.007416564,0,0.001236094,0,0.284301607,0
0,0.00655308,0,0.053735256,0,0,0,0.085190039,0,0,0,0,0,0,0,0.010484928,0,0,0,0,0,0,0.007863696,0,0,0,0.19266055,0,0,0,0,0.018348624,0,0,0.224115334,0.070773263,0.002621232,0,0,0,0,0,0.048492792,0,0,0.002621232,0,0.003931848,0,0.272608126,0
0,0.016207455,0,0.050243112,0,0,0,0.108589951,0,0,0,0,0,0,0,0.006482982,0,0,0,0,0,0,0.008103728,0,0,0,0.181523501,0,0,0,0,0.012965964,0,0,0.152350081,0.068071313,0.001620746,0,0,0,0,0,0.040518639,0,0,0,0,0.001620746,0,0.351701783,0
0,0.002604167,0,0.036458333,0,0,0,0.08203125,0,0.001302083,0,0,0,0,0,0,0,0,0,0,0.002604167,0,0.002604167,0,0,0,0.216145833,0,0,0,0,0.067708333,0,0,0.130208333,0.161458333,0,0,0,0,0,0,0.102864583,0,0,0,0,0.006510417,0,0.1875,0
0,0.01125,0,0.0225,0,0,0,0.05,0,0,0,0,0,0,0,0.01125,0,0,0,0,0.00125,0.00125,0.00125,0,0,0,0.205,0,0,0,0,0.01625,0,0,0.1025,0.17,0,0,0,0,0,0,0.09125,0,0,0,0.00625,0.00125,0,0.30875,0
0,0.016967126,0,0.046659597,0,0,0,0.076352068,0.002120891,0.005302227,0,0,0,0,0,0.004241782,0,0,0,0,0.001060445,0,0.008483563,0,0,0,0.221633086,0,0,0,0,0.01378579,0,0,0.153764581,0.138918346,0,0,0,0,0,0,0.036055143,0,0,0,0,0.032873807,0,0.241781548,0
0,0.008583691,0,0.0472103,0,0,0,0.087982833,0.003218884,0,0,0,0,0,0,0.00751073,0,0,0,0,0.005364807,0,0.005364807,0,0,0,0.199570815,0,0,0,0,0.026824034,0,0,0.10944206,0.127682403,0.001072961,0,0,0,0,0,0.057939914,0,0,0,0,0.005364807,0,0.306866953,0
0,0.005997001,0,0.050974513,0,0,0,0.109445277,0,0,0,0,0,0,0,0.007496252,0,0,0,0,0.004497751,0,0.008995502,0,0,0,0.1994003,0,0,0,0,0.022488756,0,0,0.127436282,0.097451274,0,0,0,0,0,0,0.035982009,0,0,0.00149925,0.00149925,0.002998501,0,0.323838081,0
0,0.001848429,0,0.014787431,0,0,0,0.120147874,0.001848429,0,0,0,0,0,0,0.001848429,0,0,0,0,0,0,0.01663586,0,0,0,0.123844732,0,0,0,0,0.005545287,0,0,0.210720887,0.186691312,0,0,0,0,0,0,0.027726433,0,0,0.005545287,0,0.001848429,0,0.280961183,0
0,0.006518905,0,0.016949153,0,0,0,0.075619296,0,0,0,0,0,0,0,0.016949153,0,0,0,0,0,0,0.005215124,0,0,0,0.142112125,0,0,0,0,0.007822686,0,0,0.142112125,0.288135593,0,0,0,0,0,0,0.045632334,0,0,0,0,0.010430248,0,0.242503259,0
0,0.004354136,0,0.005805515,0,0,0,0.123367199,0,0,0,0,0,0,0,0.001451379,0,0,0,0,0.001451379,0,0.010159652,0,0,0,0.162554427,0,0,0,0,0.01161103,0,0,0.148040639,0.203193033,0,0,0,0,0,0,0.013062409,0,0,0,0,0.007256894,0,0.307692308,0
0,0.005005005,0,0.044044044,0,0,0,0.083083083,0,0.001001001,0,0,0,0,0,0.005005005,0,0,0,0,0,0,0.018018018,0,0,0,0.145145145,0,0,0,0,0.018018018,0,0,0.12012012,0.216216216,0,0,0,0,0,0,0.011011011,0,0,0.014014014,0,0.013013013,0,0.306306306,0
0,0.007509387,0,0.030037547,0,0,0,0.055068836,0,0,0,0,0,0,0,0.013767209,0,0,0,0,0,0,0.006257822,0,0,0,0.08135169,0,0,0,0,0.020025031,0,0,0.206508135,0.247809762,0,0,0,0,0,0,0.003754693,0,0,0.01126408,0,0.007509387,0,0.309136421,0
0,0.007462687,0,0.039179104,0,0,0,0.050373134,0.003731343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005597015,0,0,0,0.09141791,0,0,0,0,0.005597015,0,0,0.222014925,0.36380597,0,0,0,0,0,0,0.076492537,0,0,0,0,0,0,0.134328358,0
0,0.008169935,0,0.024509804,0,0,0,0.050653595,0.003267974,0,0,0,0,0,0,0.001633987,0,0,0,0,0,0,0.032679739,0,0,0,0.124183007,0,0,0,0,0.006535948,0,0,0.299019608,0.22875817,0,0,0,0,0,0,0.003267974,0,0,0.008169935,0,0.003267974,0,0.205882353,0
0,0.011435832,0,0.039390089,0,0,0,0.059720457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010165184,0,0,0,0.111817027,0,0,0,0,0.021601017,0,0,0.214739517,0.280813215,0,0,0,0,0,0,0.022871665,0,0,0.002541296,0.003811944,0.025412961,0,0.195679797,0
0,0.005509642,0,0.026170799,0,0,0,0.095041322,0,0,0,0,0,0,0,0.004132231,0,0,0,0,0.005509642,0,0.006887052,0,0,0,0.110192837,0,0,0,0,0.008264463,0,0,0.276859504,0.201101928,0,0,0,0,0,0,0.004132231,0,0,0,0,0.009641873,0,0.246556474,0
0,0.006542056,0,0.053271028,0,0,0,0.075700935,0,0,0,0,0,0,0,0.000934579,0,0,0,0,0,0,0.01588785,0,0,0,0.086915888,0,0,0,0,0.026168224,0,0,0.18317757,0.285046729,0,0,0,0,0,0,0.028037383,0,0,0.018691589,0,0.005607477,0,0.214018692,0
0,0.002544529,0,0.050890585,0,0,0,0.072519084,0.001272265,0,0,0,0,0,0,0.005089059,0,0,0,0,0,0,0.003816794,0,0,0,0.115776081,0,0,0,0,0.006361323,0,0,0.208651399,0.180661578,0.001272265,0,0,0,0,0,0.008905852,0,0,0.013994911,0,0.010178117,0,0.318066158,0
0,0.002857143,0,0.055714286,0,0,0,0.071428571,0,0,0,0,0,0,0,0.001428571,0,0,0,0,0,0,0.005714286,0,0,0,0.121428571,0,0,0,0,0.012857143,0,0,0.221428571,0.245714286,0,0,0,0,0,0,0.021428571,0,0,0.014285714,0,0.001428571,0,0.224285714,0
0,0.003710575,0,0.033395176,0,0,0,0.115027829,0.00742115,0,0,0,0,0,0,0.003710575,0,0,0,0,0,0,0.011131725,0,0,0,0.14471243,0,0,0,0,0.001855288,0,0,0.207792208,0.172541744,0,0,0,0,0,0,0.029684601,0,0,0,0,0.012987013,0,0.256029685,0
0,0.007342144,0,0.022026432,0,0,0,0.107195301,0,0,0,0,0,0,0,0,0,0,0,0,0.004405286,0,0.001468429,0,0,0,0.145374449,0,0,0,0,0.04845815,0,0,0.154185022,0.239353891,0,0,0,0,0,0,0.076358297,0,0.002936858,0,0,0.039647577,0,0.151248164,0
0,0.009708738,0,0.024271845,0,0,0,0.030744337,0,0.001618123,0,0,0,0,0,0.001618123,0,0,0,0,0.001618123,0,0.006472492,0,0,0,0.13592233,0,0,0,0,0.009708738,0,0,0.127831715,0.197411003,0,0,0,0,0,0,0.046925566,0,0,0.001618123,0,0.022653722,0,0.381877023,0
0,0.007731959,0,0.027061856,0,0,0,0.037371134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005154639,0,0,0,0.222938144,0,0,0,0,0.007731959,0,0,0.150773196,0.229381443,0,0,0,0,0,0,0.034793814,0,0,0,0,0.038659794,0,0.238402062,0
0,0.001175088,0,0.034077556,0,0,0,0.029377203,0.007050529,0,0,0,0,0,0,0.003525264,0,0,0,0,0.002350176,0,0.002350176,0,0,0,0.130434783,0,0,0,0,0.016451234,0.002350176,0,0.12573443,0.17626322,0,0,0,0,0,0,0.045828437,0,0,0,0,0.003525264,0,0.419506463,0
0,0.002008032,0,0.036144578,0,0,0,0.090361446,0.002008032,0,0,0,0,0,0,0.002008032,0,0,0,0,0,0,0.002008032,0,0,0,0.190763052,0,0,0,0,0.014056225,0,0,0.134538153,0.192771084,0,0,0,0,0,0,0.040160643,0,0,0,0.002008032,0.008032129,0,0.28313253,0
0,0,0,0.012886598,0,0,0,0.092783505,0,0,0,0,0,0,0,0.025773196,0,0,0,0,0,0,0.012886598,0,0,0,0.033505155,0,0,0,0,0.00257732,0,0,0.332474227,0.216494845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270618557,0
0,0,0,0.039513678,0,0,0,0.098784195,0.001519757,0,0,0,0,0,0,0.027355623,0,0,0,0,0.003039514,0,0.007598784,0,0,0,0.066869301,0,0,0,0,0.001519757,0,0,0.121580547,0.469604863,0,0,0,0,0,0,0.030395137,0,0,0,0,0.006079027,0,0.126139818,0
0,0.004322767,0,0.0129683,0,0,0,0.128242075,0.004322767,0,0,0,0,0,0,0.007204611,0,0,0,0,0.010086455,0,0.005763689,0,0,0,0.076368876,0,0,0,0,0,0,0,0.171469741,0.312680115,0.001440922,0,0,0,0,0,0.002881844,0,0,0,0,0.004322767,0,0.257925072,0
0,0.011139674,0,0.039417309,0,0,0,0.115681234,0.002570694,0,0,0,0,0,0,0.009425878,0,0,0,0,0,0,0.01285347,0,0,0,0.071122536,0,0,0,0,0.01285347,0,0,0.135389889,0.363324764,0,0,0,0,0,0,0.017137961,0,0,0.006855184,0,0.011139674,0,0.19108826,0
0,0.00875,0,0.02,0,0,0,0.04625,0.00125,0,0,0,0,0,0,0.03375,0,0,0,0,0,0,0.02375,0,0,0,0.05875,0,0,0,0,0.0125,0,0,0.17875,0.39375,0,0,0,0,0,0,0.00625,0,0,0.005,0,0.00375,0,0.2075,0
0,0.003322259,0,0.043189369,0,0,0,0.066445183,0.00166113,0,0,0,0,0,0,0.00166113,0,0,0,0,0.00166113,0,0.006644518,0,0,0,0.058139535,0,0,0,0,0.004983389,0,0,0.174418605,0.426910299,0,0,0,0,0,0,0.07807309,0,0,0.009966777,0,0.00166113,0,0.121262458,0
0,0,0,0.026595745,0,0,0,0.056737589,0,0,0,0,0,0,0,0.00177305,0,0,0,0,0,0,0.005319149,0,0,0,0.065602837,0,0,0,0,0.00177305,0,0,0.386524823,0.303191489,0,0,0,0,0,0,0,0,0,0.005319149,0,0.005319149,0,0.141843972,0
0,0.002967359,0,0.038575668,0,0,0,0.060830861,0,0,0,0,0,0,0,0.004451039,0,0,0,0,0.00148368,0,0,0,0,0,0.047477745,0,0,0,0,0.010385757,0,0,0.225519288,0.418397626,0,0,0,0,0,0,0.014836795,0,0,0.004451039,0,0.011869436,0,0.158753709,0
0,0.003220612,0,0.028985507,0,0,0,0.099838969,0,0,0,0,0,0,0,0.014492754,0,0,0,0,0,0,0.004830918,0,0,0,0.056360709,0,0,0,0,0.003220612,0,0,0.267310789,0.32689211,0,0,0,0,0,0,0.003220612,0,0,0,0,0.006441224,0,0.185185185,0
0,0.007194245,0,0.064748201,0,0,0,0.067446043,0,0,0,0,0,0,0,0.001798561,0,0,0,0,0,0,0.018884892,0,0,0,0.048561151,0,0,0,0,0.004496403,0,0,0.197841727,0.326438849,0,0,0,0,0,0,0.029676259,0,0,0.008992806,0,0.003597122,0,0.220323741,0
0,0.007507508,0,0.048048048,0,0,0,0.102102102,0.001501502,0,0,0,0,0,0,0.009009009,0,0,0,0,0,0.001501502,0.007507508,0,0,0,0.066066066,0,0,0,0,0.004504505,0,0,0.222222222,0.343843844,0,0,0,0,0,0,0.007507508,0,0,0.007507508,0,0.003003003,0,0.168168168,0
0,0.001805054,0,0.063176895,0,0,0,0.064981949,0,0,0,0,0,0,0,0.001805054,0,0,0,0,0.001805054,0,0,0,0,0,0.077617329,0,0,0,0,0.003610108,0,0,0.175090253,0.384476534,0,0,0,0,0,0,0.025270758,0,0,0.005415162,0,0.005415162,0,0.189530686,0
