"","preceding12ppt","sample_date","drought"
"2",507,19990615,0
"3",349.8,20000615,1
"4",577.8,20010615,0
"5",638.7,20020615,0
"6",762.1,20030615,0
"7",734.6,20040615,0
"8",589.7,20050615,0
"9",373.2,20060615,1
"10",531.5,20070615,0
"11",457.8,20080615,1
"12",484,20090615,1
"13",704.2,20100615,0
"14",556.6,20110615,0
"15",1082.4,20120615,0
"16",695.2,20130615,0
"17",490.2,20140615,1
"18",589.9,20150615,0
"19",612.2,20160615,0
"20",211.3,20170615,1
"21",793.9,20180615,0
"22",576.8,20190615,0
"23",848,20200615,0
