Month,North,Central,South,Average,std error
Jan 03,12.5,20,14.9,15.8,2.2
Feb 03,13,14,11,12.7,0.9
Mar 03,13.1,14.9,14.3,14.1,0.5
Apr 03,261.8,269.3,279,270.0,5.0
May 03,77.1,70.2,72.3,73.2,2.0
Jun 03,68.2,66.2,71.8,68.7,1.6
Jul 03,12.7,9,9.2,10.3,1.2
Aug 03,41.7,40.4,40.6,40.9,0.4
Sep 03,34.6,28.8,25.1,29.5,2.8
Oct 03,33.2,36.5,39.3,36.3,1.8
Nov 03,116,109,120.2,115.1,3.3
Dec 03,91,96.2,97.7,95.0,2.0
Jan 04,52.3,50,48.5,50.3,1.1
Feb 04,13.2,15.8,16,15.0,0.9
Mar 04,96.5,98.1,100.6,98.4,1.2
apr 04,222.1,197.5,190.1,203.2,9.7
may 04,38.4,39.2,44.2,40.6,1.8
jun 04,0.0,0.0,0.0,0.0,0.0
jul 04,29.4,42.2,46.9,39.5,5.2
aug 04,60.2,70.7,80.7,70.5,5.9
sep 04,41.2,57.2,53.6,50.7,4.8
oct 04,27.3,34.8,46.3,20.0,5.5
nov 04,136.3,147.2,159.7,147.7,6.8
dec 04,6.2,7.4,7.4,7.0,13.2
Jan 05,19.3,15.0,14.5,16.3,1.5
Feb 05,0.0,0.0,0.0,0.0,0.0
Mar 05,10.0,13.0,11.5,11.5,0.9
Apr 05,47.4,48.8,62.0,52.7,4.7
May 05,146.3,133.2,141.9,140.5,3.8
Jun 05,34.3,35.8,29.9,33.3,1.8
Jul 05,7.4,7.5,7.9,7.6,0.2
Aug 05,37.4,41.2,39.9,39.5,1.1
Sep 05,56.6,66.4,62.3,61.8,2.8
Oct 05,54.2,68.5,75.0,65.9,6.1
Nov 05,18.7,15.8,13.8,16.1,1.4
Dec 05,3.8,5.0,5.5,4.8,0.5
Jan 06,6.0,5.0,5.0,5.3,0.3
Feb 06,13.0,11.5,14.0,12.8,0.7
Mar 06,5.8,6.6,6.4,6.3,0.2
Apr 06,50.0,54.8,48.7,51.2,1.9
May 06,77.3,90.9,83.6,83.9,3.9
Jun 06,14.4,18.8,20.9,18.0,1.9
Jul 06,28.6,28.3,36.9,31.3,2.8
Aug 06,79.0,54.0,74.1,69.0,7.6
Sep 06,5.0,6.8,8.0,6.6,0.9
Oct 06,79.0,78.6,81.6,79.7,0.9
Nov 06,103.5,111.8,100.0,105.1,3.5
Dec 06,32.0,30.0,28.5,30.2,1.0
Jan 07,18.8,18.5,17.8,18.4,0.3
Feb 07,0.0,0.0,0.0,0.0,0.0
Mar 07,9.8,7.0,5.0,7.3,1.4
Apr 07,52.2,36.6,37.4,42.1,5.1
May 07,48.8,52.5,58.0,53.1,2.7
Jun 07,97.6,85.8,82.8,88.7,4.5
Jul 07,66.0,65.3,59.3,63.5,2.1
Aug 07,69.0,66.4,68.8,68.1,0.8
Sep 07,65.9,73.4,72.6,70.6,2.4
Oct 07,13.2,15.1,14.8,14.4,0.6
Nov 07,19.0,21.0,24.0,21.3,1.5
Dec 07,5.8,3.3,2.9,4.0,0.9
Jan 08,21.3,21.1,22.1,21.5,0.3
Feb 08,0.0,0.0,0.0,0.0,0.0
Mar 08,81.4,79.9,75.4,78.9,1.8
Apr 08,48.8,52.0,54.2,51.7,1.6
May 08,54.8,50.2,45.1,50.0,2.8
Jun 08,13.5,15.2,12.8,13.8,0.7
Jul 08,44.6,47.9,53.2,48.6,2.5
Aug 08,31.3,39.6,37.7,36.2,2.5
Sep 08,30.5,33.2,39.3,34.3,2.6
Oct 08,101.1,104.3,108.4,104.6,2.1
Nov 08,144.0,130.6,127.6,134.1,5.0
Dec 08,3.0,2.6,2.4,2.7,0.2
Jan 09,42.3,36.6,29.5,36.1,3.7
Feb 09,0.0,0.0,0.0,0.0,0.0
Mar 09,0.0,0.0,0.0,0.0,0.0
Apr 09,18.1,14.2,15.2,15.8,1.2
May 09,66.2,58.7,66.7,63.9,2.6
Jun 09,6.4,7.9,8.7,7.7,0.7
Jul 09,13.2,13.5,13.1,13.3,0.1
Aug 09,2.2,13.0,11.8,9.0,3.4
Sept 09,2.6,0.5,0.3,1.1,0.7
Oct 09,92.9,84.1,84.4,87.1,2.9
Nov 09,66.7,60.0,63.6,63.4,1.9
Dec 09,124.5,129.3,137.5,130.4,3.8
Jan 10,0.6,1.2,1.2,1.0,0.2
Feb 10,29.5,24,25,26.2,1.7
Mar 10,76.8,88.5,90.3,85.2,4.2
Apr 10,87.7,131.6,131.8,117.0,14.7
May 10,75.7,86.6,85.5,82.6,3.5
Jun 10,102.3,85.5,76,87.9,7.7
Jul 10,62.6,66.1,65.2,64.6,1.0
Aug 10,48.5,53.4,56.8,52.9,2.4
Sept 10,0.5,0.9,1,0.8,0.2
